state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-07-12,"68,393","67,927","68,859",9.47,8.98,9.96,"722,054","719,025","725,083"
CW,2020-07-13,"70,330","69,862","70,797",9.81,9.32,10.29,"717,199","714,426","719,972"
CW,2020-07-14,"72,642","72,220","73,064",10.14,9.64,10.65,"716,275","712,425","720,125"
CW,2020-07-15,"75,308","74,966","75,651",10.60,10.07,11.13,"710,545","705,711","715,378"
CW,2020-07-16,"74,850","74,535","75,165",10.52,10.00,11.03,"711,694","706,922","716,465"
CW,2020-07-17,"74,303","73,984","74,621",10.44,9.94,10.94,"711,727","707,209","716,245"
CW,2020-07-18,"73,876","73,409","74,342",10.37,9.79,10.96,"712,218","707,571","716,865"
CW,2020-07-19,"73,643","73,220","74,065",10.36,9.79,10.93,"710,646","705,838","715,455"
CW,2020-07-20,"75,292","74,997","75,586",10.59,10.11,11.08,"710,634","706,190","715,079"
CW,2020-07-21,"77,068","76,761","77,375",10.81,10.32,11.31,"712,692","708,117","717,267"
CW,2020-07-22,"76,648","76,320","76,975",10.71,10.29,11.13,"715,558","712,095","719,022"
CW,2020-07-23,"75,065","74,705","75,426",10.40,10.00,10.80,"721,748","718,888","724,608"
CW,2020-07-24,"73,222","72,830","73,613",10.23,9.79,10.66,"715,944","712,959","718,929"
CW,2020-07-25,"72,393","71,901","72,886",10.17,9.66,10.68,"711,947","709,023","714,871"
CW,2020-07-26,"71,984","71,418","72,550",10.16,9.59,10.74,"708,169","705,048","711,291"
CW,2020-07-27,"72,500","72,088","72,912",10.23,9.79,10.68,"708,526","705,666","711,385"
CW,2020-07-28,"73,439","73,124","73,755",10.35,10.00,10.69,"709,669","707,403","711,934"
CW,2020-07-29,"72,352","71,962","72,742",10.20,9.80,10.61,"709,142","706,752","711,531"
CW,2020-07-30,"71,109","70,755","71,462",9.99,9.61,10.36,"712,087","709,852","714,322"
CW,2020-07-31,"69,899","69,559","70,239",9.85,9.49,10.21,"709,623","707,377","711,869"
CW,2020-08-01,"68,401","68,033","68,769",9.68,9.27,10.08,"706,678","704,100","709,256"
CW,2020-08-02,"68,189","67,844","68,534",9.69,9.30,10.07,"704,008","701,540","706,476"
CW,2020-08-03,"68,145","67,831","68,460",9.68,9.34,10.03,"703,807","701,640","705,974"
CW,2020-08-04,"68,389","68,085","68,692",9.69,9.35,10.03,"705,953","703,727","708,179"
CW,2020-08-05,"67,421","67,132","67,711",9.51,9.19,9.83,"709,152","707,084","711,221"
CW,2020-08-06,"65,852","65,540","66,165",9.27,8.93,9.62,"710,154","707,987","712,321"
CW,2020-08-07,"64,956","64,646","65,266",9.15,8.80,9.49,"710,210","708,065","712,355"
CW,2020-08-08,"63,058","62,732","63,385",8.85,8.48,9.21,"712,616","710,288","714,945"
CW,2020-08-09,"62,341","62,012","62,671",8.78,8.40,9.15,"710,314","707,877","712,751"
CW,2020-08-10,"62,819","62,525","63,113",8.85,8.50,9.19,"710,212","707,838","712,586"
CW,2020-08-11,"63,215","62,912","63,517",8.87,8.54,9.20,"712,714","710,671","714,758"
CW,2020-08-12,"61,346","61,000","61,692",8.54,8.15,8.93,"718,543","716,046","721,040"
MA,2020-07-12,605,597,613,3.87,2.93,4.80,"15,652","15,339","15,965"
MA,2020-07-13,589,581,597,3.77,2.83,4.71,"15,617","15,305","15,929"
MA,2020-07-14,553,552,554,3.51,3.43,3.59,"15,769","15,760","15,778"
MA,2020-07-15,533,532,534,3.37,3.23,3.50,"15,824","15,770","15,879"
MA,2020-07-16,524,519,529,3.29,2.93,3.66,"15,920","15,866","15,975"
MA,2020-07-17,532,527,537,3.35,2.96,3.73,"15,896","15,839","15,953"
MA,2020-07-18,504,502,505,3.18,3.00,3.36,"15,851","15,785","15,917"
MA,2020-07-19,539,538,540,3.39,3.25,3.54,"15,874","15,817","15,932"
MA,2020-07-20,555,555,555,3.49,3.34,3.64,"15,906","15,846","15,967"
MA,2020-07-21,460,433,486,2.89,0.03,5.75,"15,906","14,932","16,881"
MA,2020-07-22,336,323,350,2.11,0.80,3.43,"15,922","15,595","16,250"
MA,2020-07-23,386,375,398,2.40,1.45,3.36,"16,100","15,914","16,286"
MA,2020-07-24,370,362,378,2.29,1.54,3.04,"16,167","16,013","16,320"
MA,2020-07-25,365,356,374,2.26,1.50,3.02,"16,166","16,010","16,323"
MA,2020-07-26,334,324,343,2.06,1.22,2.90,"16,200","16,041","16,359"
MA,2020-07-27,340,331,348,2.09,1.33,2.86,"16,224","16,071","16,377"
MA,2020-07-28,358,349,366,2.20,1.44,2.95,"16,266","16,113","16,419"
MA,2020-07-29,338,330,346,2.07,1.30,2.84,"16,326","16,173","16,479"
MA,2020-07-30,311,303,320,1.90,1.11,2.69,"16,393","16,240","16,546"
MA,2020-07-31,339,331,348,2.06,1.30,2.83,"16,461","16,308","16,614"
