state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL
CW,2020-07-12,"72,724","72,338","73,110",63.48,62.29,64.68,"114,556","113,950","115,162"
CW,2020-07-13,"72,901","72,537","73,264",64.08,62.95,65.21,"113,765","113,200","114,331"
CW,2020-07-14,"74,588","74,050","75,126",65.71,64.09,67.33,"113,512","112,730","114,295"
CW,2020-07-15,"75,176","74,611","75,741",66.30,64.59,68.02,"113,382","112,547","114,216"
CW,2020-07-16,"75,059","74,495","75,622",66.50,64.79,68.21,"112,865","112,040","113,690"
CW,2020-07-17,"74,702","74,178","75,225",66.46,64.84,68.07,"112,404","111,618","113,190"
CW,2020-07-18,"74,454","73,899","75,009",66.41,64.70,68.13,"112,106","111,276","112,936"
CW,2020-07-19,"73,491","72,917","74,066",65.85,64.09,67.61,"111,608","110,771","112,445"
CW,2020-07-20,"73,454","72,919","73,989",66.00,64.33,67.66,"111,296","110,498","112,095"
CW,2020-07-21,"75,135","74,578","75,692",67.93,66.22,69.65,"110,602","109,797","111,408"
CW,2020-07-22,"75,780","75,395","76,165",68.65,67.39,69.90,"110,389","109,771","111,007"
CW,2020-07-23,"75,102","74,762","75,442",68.93,67.90,69.97,"108,946","108,482","109,410"
CW,2020-07-24,"75,039","74,673","75,405",69.13,68.05,70.21,"108,548","108,084","109,013"
CW,2020-07-25,"73,257","72,915","73,599",68.53,67.49,69.58,"106,895","106,440","107,349"
CW,2020-07-26,"72,024","71,661","72,387",67.60,66.47,68.73,"106,546","106,048","107,043"
CW,2020-07-27,"71,825","71,474","72,177",67.33,66.25,68.40,"106,681","106,222","107,140"
CW,2020-07-28,"73,637","73,359","73,916",68.96,68.14,69.78,"106,786","106,446","107,127"
CW,2020-07-29,"74,211","73,924","74,497",69.91,69.04,70.78,"106,147","105,778","106,517"
CW,2020-07-30,"74,204","73,931","74,477",69.75,68.94,70.55,"106,388","106,057","106,718"
CW,2020-07-31,"73,880","73,604","74,156",69.41,68.62,70.19,"106,441","106,137","106,746"
CW,2020-08-01,"72,694","72,380","73,009",68.36,67.43,69.29,"106,343","105,958","106,728"
CW,2020-08-02,"71,559","71,269","71,849",67.39,66.53,68.25,"106,183","105,834","106,533"
CW,2020-08-03,"70,533","70,275","70,791",66.67,65.95,67.40,"105,787","105,516","106,057"
