state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-07-12,"468,694","466,010","471,378",64.91,63.77,66.06,"722,054","719,025","725,083"
CW,2020-07-13,"472,790","470,025","475,555",65.92,64.78,67.06,"717,199","714,426","719,972"
CW,2020-07-14,"484,348","480,804","487,891",67.62,66.12,69.12,"716,275","712,425","720,125"
CW,2020-07-15,"483,717","479,670","487,763",68.08,66.29,69.86,"710,545","705,711","715,378"
CW,2020-07-16,"485,127","481,369","488,886",68.17,66.47,69.86,"711,694","706,922","716,465"
CW,2020-07-17,"483,863","480,175","487,551",67.98,66.34,69.62,"711,727","707,209","716,245"
CW,2020-07-18,"477,714","474,051","481,378",67.07,65.42,68.73,"712,218","707,571","716,865"
CW,2020-07-19,"473,340","469,571","477,109",66.61,64.90,68.32,"710,646","705,838","715,455"
CW,2020-07-20,"476,556","472,936","480,177",67.06,65.44,68.68,"710,634","706,190","715,079"
CW,2020-07-21,"485,985","482,376","489,594",68.19,66.56,69.82,"712,692","708,117","717,267"
CW,2020-07-22,"491,170","488,179","494,161",68.64,67.35,69.93,"715,558","712,095","719,022"
CW,2020-07-23,"489,206","486,790","491,621",67.78,66.73,68.83,"721,748","718,888","724,608"
CW,2020-07-24,"484,925","482,134","487,716",67.73,66.56,68.91,"715,944","712,959","718,929"
CW,2020-07-25,"471,405","469,110","473,701",66.21,65.17,67.25,"711,947","709,023","714,871"
CW,2020-07-26,"460,907","458,505","463,309",65.08,63.98,66.19,"708,169","705,048","711,291"
CW,2020-07-27,"462,360","460,015","464,704",65.26,64.20,66.31,"708,526","705,666","711,385"
CW,2020-07-28,"479,667","477,667","481,668",67.59,66.72,68.46,"709,669","707,403","711,934"
CW,2020-07-29,"485,093","483,075","487,111",68.41,67.52,69.29,"709,142","706,752","711,531"
CW,2020-07-30,"484,980","483,070","486,890",68.11,67.27,68.94,"712,087","709,852","714,322"
CW,2020-07-31,"481,271","479,397","483,145",67.82,66.99,68.65,"709,623","707,377","711,869"
CW,2020-08-01,"466,986","464,940","469,031",66.08,65.15,67.01,"706,678","704,100","709,256"
CW,2020-08-02,"455,244","453,260","457,227",64.66,63.76,65.57,"704,008","701,540","706,476"
CW,2020-08-03,"458,057","456,244","459,871",65.08,64.27,65.89,"703,807","701,640","705,974"
CW,2020-08-04,"475,737","473,977","477,498",67.39,66.59,68.19,"705,953","703,727","708,179"
CW,2020-08-05,"484,406","482,755","486,058",68.31,67.56,69.05,"709,152","707,084","711,221"
CW,2020-08-06,"484,486","482,822","486,150",68.22,67.46,68.98,"710,154","707,987","712,321"
CW,2020-08-07,"481,577","479,952","483,203",67.81,67.06,68.56,"710,210","708,065","712,355"
CW,2020-08-08,"467,223","465,561","468,884",65.56,64.78,66.35,"712,616","710,288","714,945"
CW,2020-08-09,"455,664","453,947","457,380",64.15,63.33,64.97,"710,314","707,877","712,751"
CW,2020-08-10,"456,740","455,171","458,310",64.31,63.54,65.08,"710,212","707,838","712,586"
CW,2020-08-11,"477,108","475,753","478,463",66.94,66.28,67.61,"712,714","710,671","714,758"
CW,2020-08-12,"485,449","483,664","487,234",67.56,66.73,68.39,"718,543","716,046","721,040"
MA,2020-07-12,"11,198","10,977","11,419",71.54,66.79,76.30,"15,652","15,339","15,965"
MA,2020-07-13,"10,795","10,574","11,016",69.12,64.36,73.89,"15,617","15,305","15,929"
MA,2020-07-14,"11,439","11,403","11,475",72.54,71.97,73.11,"15,769","15,760","15,778"
MA,2020-07-15,"11,342","11,288","11,396",71.68,70.67,72.68,"15,824","15,770","15,879"
MA,2020-07-16,"11,298","11,244","11,352",70.97,69.96,71.97,"15,920","15,866","15,975"
MA,2020-07-17,"10,907","10,848","10,965",68.61,67.52,69.71,"15,896","15,839","15,953"
MA,2020-07-18,"10,525","10,466","10,583",66.40,65.24,67.55,"15,851","15,785","15,917"
MA,2020-07-19,"10,620","10,566","10,674",66.90,65.86,67.94,"15,874","15,817","15,932"
MA,2020-07-20,"11,257","11,199","11,316",70.77,69.66,71.88,"15,906","15,846","15,967"
MA,2020-07-21,"12,004","11,323","12,684",75.46,60.95,89.98,"15,906","14,932","16,881"
MA,2020-07-22,"12,790","12,544","13,036",80.33,75.27,85.39,"15,922","15,595","16,250"
MA,2020-07-23,"11,328","11,189","11,467",70.36,67.52,73.20,"16,100","15,914","16,286"
MA,2020-07-24,"11,182","11,061","11,302",69.17,66.75,71.58,"16,167","16,013","16,320"
MA,2020-07-25,"10,922","10,803","11,040",67.56,65.15,69.97,"16,166","16,010","16,323"
MA,2020-07-26,"10,653","10,524","10,782",65.76,63.21,68.31,"16,200","16,041","16,359"
MA,2020-07-27,"10,679","10,558","10,800",65.82,63.41,68.24,"16,224","16,071","16,377"
MA,2020-07-28,"11,182","11,062","11,303",68.75,66.34,71.15,"16,266","16,113","16,419"
MA,2020-07-29,"11,464","11,343","11,584",70.22,67.83,72.61,"16,326","16,173","16,479"
MA,2020-07-30,"11,509","11,388","11,629",70.20,67.82,72.59,"16,393","16,240","16,546"
MA,2020-07-31,"11,507","11,386","11,627",69.90,67.53,72.28,"16,461","16,308","16,614"
MA,2020-08-01,"11,155","11,013","11,297",68.16,65.48,70.83,"16,367","16,206","16,528"
MA,2020-08-02,"10,793","10,655","10,931",66.13,63.54,68.72,"16,321","16,171","16,471"
MA,2020-08-03,"10,788","10,650","10,926",65.97,63.39,68.56,"16,352","16,202","16,502"
MA,2020-08-04,"10,958","10,838","11,077",68.33,65.92,70.74,"16,036","15,886","16,186"
MA,2020-08-05,"11,098","10,977","11,218",69.27,66.81,71.73,"16,021","15,865","16,177"
MA,2020-08-06,"11,000","10,882","11,118",68.67,66.28,71.06,"16,019","15,869","16,169"
MA,2020-08-07,"10,946","10,823","11,068",68.29,65.73,70.86,"16,027","15,859","16,195"
MA,2020-08-08,"10,677","10,521","10,833",66.89,63.58,70.20,"15,962","15,743","16,181"
MA,2020-08-09,"10,358","10,180","10,535",64.79,61.59,67.98,"15,987","15,834","16,140"
MA,2020-08-10,"10,403","10,285","10,521",65.14,62.74,67.55,"15,969","15,819","16,119"
MA,2020-08-11,"11,049","10,931","11,167",69.15,66.75,71.54,"15,979","15,829","16,129"
MA,2020-08-12,"11,121","10,981","11,261",69.51,66.64,72.39,"15,998","15,817","16,179"
AL,2020-07-12,"9,139","8,879","9,399",68.48,63.68,73.29,"13,345","13,269","13,421"
AL,2020-07-13,"9,344","8,959","9,728",70.94,63.76,78.12,"13,171","13,027","13,316"
AL,2020-07-14,"9,771","9,389","10,154",75.51,68.42,82.60,"12,940","12,793","13,088"
AL,2020-07-15,"9,814","9,390","10,238",76.31,67.01,85.60,"12,862","12,463","13,260"
AL,2020-07-16,"9,671","9,246","10,096",75.46,66.13,84.79,"12,816","12,424","13,207"
AL,2020-07-17,"9,632","9,215","10,048",75.80,66.70,84.90,"12,707","12,339","13,074"
AL,2020-07-18,"9,397","9,021","9,773",73.95,65.91,81.99,"12,707","12,400","13,014"
AL,2020-07-19,"9,256","8,866","9,646",73.92,65.44,82.40,"12,522","12,201","12,842"
AL,2020-07-20,"9,340","8,998","9,682",74.61,66.52,82.70,"12,518","12,156","12,880"
AL,2020-07-21,"9,575","9,196","9,955",76.33,67.73,84.92,"12,545","12,184","12,907"
AL,2020-07-22,"9,739","9,214","10,264",76.71,65.95,87.48,"12,695","12,326","13,064"
AL,2020-07-23,"9,596","9,146","10,046",77.19,68.24,86.14,"12,432","12,184","12,679"
AL,2020-07-24,"9,473","9,003","9,943",76.86,67.23,86.50,"12,324","12,037","12,611"
AL,2020-07-25,"9,207","8,738","9,676",74.42,64.76,84.09,"12,371","12,083","12,659"
AL,2020-07-26,"9,036","8,568","9,505",73.98,64.17,83.78,"12,215","11,927","12,504"
