level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,ITA.10_1,2020-03-01,-0.283,0.271
1,ITA.10_1,2020-03-02,-0.19,0.188
1,ITA.10_1,2020-03-03,-0.135,0.156
1,ITA.10_1,2020-03-04,-0.116,0.146
1,ITA.10_1,2020-03-05,-0.17,0.169
1,ITA.10_1,2020-03-06,-0.174,0.159
1,ITA.10_1,2020-03-07,-0.14,0.178
1,ITA.10_1,2020-03-08,-0.26,0.264
1,ITA.10_1,2020-03-09,-0.286,0.224
1,ITA.10_1,2020-03-10,-0.342,0.255
1,ITA.10_1,2020-03-11,-0.394,0.278
1,ITA.10_1,2020-03-12,-0.494,0.358
1,ITA.10_1,2020-03-13,-0.535,0.371
1,ITA.10_1,2020-03-14,-0.669,0.492
1,ITA.10_1,2020-03-15,-0.723,0.578
1,ITA.10_1,2020-03-16,-0.574,0.417
1,ITA.10_1,2020-03-17,-0.578,0.425
1,ITA.10_1,2020-03-18,-0.601,0.445
1,ITA.10_1,2020-03-19,-0.613,0.453
1,ITA.10_1,2020-03-20,-0.627,0.454
1,ITA.10_1,2020-03-21,-0.704,0.522
1,ITA.10_1,2020-03-22,-0.786,0.678
1,ITA.10_1,2020-03-23,-0.672,0.525
1,ITA.10_1,2020-03-24,-0.66,0.518
1,ITA.10_1,2020-03-25,-0.677,0.538
1,ITA.10_1,2020-03-26,-0.693,0.543
1,ITA.10_1,2020-03-27,-0.691,0.519
1,ITA.10_1,2020-03-28,-0.729,0.551
1,ITA.10_1,2020-03-29,-0.787,0.672
1,ITA.10_1,2020-03-30,-0.683,0.53
1,ITA.10_1,2020-03-31,-0.676,0.529
1,ITA.10_1,2020-04-01,-0.674,0.51
1,ITA.10_1,2020-04-02,-0.672,0.502
1,ITA.10_1,2020-04-03,-0.67,0.489
1,ITA.10_1,2020-04-04,-0.717,0.533
1,ITA.10_1,2020-04-05,-0.778,0.652
1,ITA.10_1,2020-04-06,-0.651,0.484
1,ITA.10_1,2020-04-07,-0.641,0.479
1,ITA.10_1,2020-04-08,-0.643,0.47
1,ITA.10_1,2020-04-09,-0.639,0.461
1,ITA.10_1,2020-04-10,-0.643,0.448
1,ITA.10_1,2020-04-11,-0.698,0.502
1,ITA.10_1,2020-04-12,-0.794,0.67
1,ITA.10_1,2020-04-13,-0.814,0.656
1,ITA.10_1,2020-04-14,-0.624,0.458
1,ITA.10_1,2020-04-15,-0.615,0.454
1,ITA.10_1,2020-04-16,-0.611,0.444
1,ITA.10_1,2020-04-17,-0.611,0.431
1,ITA.10_1,2020-04-18,-0.681,0.489
1,ITA.10_1,2020-04-19,-0.763,0.628
1,ITA.10_1,2020-04-20,-0.618,0.477
1,ITA.10_1,2020-04-21,-0.601,0.462
1,ITA.10_1,2020-04-22,-0.595,0.427
1,ITA.10_1,2020-04-23,-0.589,0.421
1,ITA.10_1,2020-04-24,-0.588,0.404
1,ITA.10_1,2020-04-25,-0.721,0.533
1,ITA.10_1,2020-04-26,-0.75,0.607
1,ITA.10_1,2020-04-27,-0.57,0.411
1,ITA.10_1,2020-04-28,-0.57,0.424
1,ITA.10_1,2020-04-29,-0.568,0.408
1,ITA.10_1,2020-04-30,-0.557,0.397
1,ITA.10_1,2020-05-01,-0.775,0.582
1,ITA.10_1,2020-05-02,-0.647,0.437
1,ITA.10_1,2020-05-03,-0.719,0.561
1,ITA.10_1,2020-05-04,-0.377,0.272
1,ITA.10_1,2020-05-05,-0.361,0.267
1,ITA.10_1,2020-05-06,-0.376,0.273
1,ITA.10_1,2020-05-07,-0.364,0.261
1,ITA.10_1,2020-05-08,-0.367,0.254
1,ITA.10_1,2020-05-09,-0.394,0.281
1,ITA.10_1,2020-05-10,-0.478,0.364
1,ITA.10_1,2020-05-11,-0.417,0.323
1,ITA.10_1,2020-05-12,-0.343,0.264
1,ITA.10_1,2020-05-13,-0.389,0.302
1,ITA.10_1,2020-05-14,-0.331,0.248
1,ITA.10_1,2020-05-15,-0.369,0.266
1,ITA.10_1,2020-05-16,-0.385,0.281
1,ITA.10_1,2020-05-17,-0.425,0.342
1,ITA.10_1,2020-05-18,-0.232,0.206
1,ITA.10_1,2020-05-19,-0.256,0.222
1,ITA.10_1,2020-05-20,-0.234,0.2
1,ITA.10_1,2020-05-21,-0.225,0.194
1,ITA.10_1,2020-05-22,-0.232,0.189
1,ITA.10_1,2020-05-23,-0.204,0.206
1,ITA.10_1,2020-05-24,-0.206,0.253
1,ITA.10_1,2020-05-25,-0.187,0.186
1,ITA.10_1,2020-05-26,-0.18,0.184
1,ITA.10_1,2020-05-27,-0.188,0.181
1,ITA.10_1,2020-05-28,-0.184,0.177
1,ITA.10_1,2020-05-29,-0.195,0.176
1,ITA.10_1,2020-05-30,-0.148,0.184
1,ITA.10_1,2020-05-31,-0.161,0.235
1,ITA.11_1,2020-03-01,-0.201,0.202
1,ITA.11_1,2020-03-02,-0.062,0.121
1,ITA.11_1,2020-03-03,-0.043,0.122
1,ITA.11_1,2020-03-04,-0.094,0.143
1,ITA.11_1,2020-03-05,-0.092,0.138
1,ITA.11_1,2020-03-06,-0.115,0.141
1,ITA.11_1,2020-03-07,-0.19,0.175
1,ITA.11_1,2020-03-08,-0.253,0.226
1,ITA.11_1,2020-03-09,-0.206,0.173
1,ITA.11_1,2020-03-10,-0.274,0.214
1,ITA.11_1,2020-03-11,-0.339,0.24
1,ITA.11_1,2020-03-12,-0.445,0.307
1,ITA.11_1,2020-03-13,-0.492,0.333
1,ITA.11_1,2020-03-14,-0.637,0.428
1,ITA.11_1,2020-03-15,-0.739,0.554
1,ITA.11_1,2020-03-16,-0.562,0.382
1,ITA.11_1,2020-03-17,-0.549,0.397
1,ITA.11_1,2020-03-18,-0.566,0.421
1,ITA.11_1,2020-03-19,-0.587,0.424
1,ITA.11_1,2020-03-20,-0.597,0.424
1,ITA.11_1,2020-03-21,-0.687,0.487
1,ITA.11_1,2020-03-22,-0.802,0.662
1,ITA.11_1,2020-03-23,-0.661,0.491
1,ITA.11_1,2020-03-24,-0.65,0.519
1,ITA.11_1,2020-03-25,-0.669,0.537
1,ITA.11_1,2020-03-26,-0.695,0.558
1,ITA.11_1,2020-03-27,-0.687,0.532
1,ITA.11_1,2020-03-28,-0.717,0.521
1,ITA.11_1,2020-03-29,-0.801,0.646
1,ITA.11_1,2020-03-30,-0.668,0.485
1,ITA.11_1,2020-03-31,-0.665,0.521
1,ITA.11_1,2020-04-01,-0.655,0.492
1,ITA.11_1,2020-04-02,-0.649,0.479
1,ITA.11_1,2020-04-03,-0.647,0.461
1,ITA.11_1,2020-04-04,-0.701,0.495
1,ITA.11_1,2020-04-05,-0.794,0.635
1,ITA.11_1,2020-04-06,-0.636,0.451
1,ITA.11_1,2020-04-07,-0.617,0.451
1,ITA.11_1,2020-04-08,-0.613,0.442
1,ITA.11_1,2020-04-09,-0.617,0.436
1,ITA.11_1,2020-04-10,-0.618,0.421
1,ITA.11_1,2020-04-11,-0.683,0.462
1,ITA.11_1,2020-04-12,-0.807,0.638
1,ITA.11_1,2020-04-13,-0.808,0.638
1,ITA.11_1,2020-04-14,-0.636,0.473
1,ITA.11_1,2020-04-15,-0.597,0.432
1,ITA.11_1,2020-04-16,-0.591,0.42
1,ITA.11_1,2020-04-17,-0.59,0.404
1,ITA.11_1,2020-04-18,-0.658,0.439
1,ITA.11_1,2020-04-19,-0.776,0.597
1,ITA.11_1,2020-04-20,-0.616,0.455
1,ITA.11_1,2020-04-21,-0.607,0.465
1,ITA.11_1,2020-04-22,-0.597,0.436
1,ITA.11_1,2020-04-23,-0.581,0.4
1,ITA.11_1,2020-04-24,-0.551,0.358
1,ITA.11_1,2020-04-25,-0.754,0.561
1,ITA.11_1,2020-04-26,-0.753,0.552
1,ITA.11_1,2020-04-27,-0.557,0.367
1,ITA.11_1,2020-04-28,-0.548,0.396
1,ITA.11_1,2020-04-29,-0.538,0.381
1,ITA.11_1,2020-04-30,-0.516,0.342
1,ITA.11_1,2020-05-01,-0.767,0.565
1,ITA.11_1,2020-05-02,-0.637,0.403
1,ITA.11_1,2020-05-03,-0.747,0.547
1,ITA.11_1,2020-05-04,-0.351,0.243
1,ITA.11_1,2020-05-05,-0.322,0.242
1,ITA.11_1,2020-05-06,-0.355,0.266
1,ITA.11_1,2020-05-07,-0.313,0.233
1,ITA.11_1,2020-05-08,-0.316,0.227
1,ITA.11_1,2020-05-09,-0.354,0.244
1,ITA.11_1,2020-05-10,-0.459,0.319
1,ITA.11_1,2020-05-11,-0.328,0.234
1,ITA.11_1,2020-05-12,-0.3,0.237
1,ITA.11_1,2020-05-13,-0.263,0.221
1,ITA.11_1,2020-05-14,-0.28,0.222
1,ITA.11_1,2020-05-15,-0.27,0.212
1,ITA.11_1,2020-05-16,-0.333,0.242
1,ITA.11_1,2020-05-17,-0.383,0.292
1,ITA.11_1,2020-05-18,-0.221,0.19
1,ITA.11_1,2020-05-19,-0.206,0.193
1,ITA.11_1,2020-05-20,-0.263,0.226
1,ITA.11_1,2020-05-21,-0.171,0.174
1,ITA.11_1,2020-05-22,-0.165,0.164
1,ITA.11_1,2020-05-23,-0.144,0.169
1,ITA.11_1,2020-05-24,-0.245,0.221
1,ITA.11_1,2020-05-25,-0.159,0.16
1,ITA.11_1,2020-05-26,-0.126,0.159
1,ITA.11_1,2020-05-27,-0.128,0.162
1,ITA.11_1,2020-05-28,-0.129,0.156
1,ITA.11_1,2020-05-29,-0.213,0.19
1,ITA.11_1,2020-05-30,-0.173,0.177
1,ITA.11_1,2020-05-31,-0.179,0.206
1,ITA.12_1,2020-03-01,-0.124,0.195
1,ITA.12_1,2020-03-02,-0.024,0.125
1,ITA.12_1,2020-03-03,-0.022,0.131
1,ITA.12_1,2020-03-04,-0.008,0.126
1,ITA.12_1,2020-03-05,-0.042,0.146
1,ITA.12_1,2020-03-06,-0.112,0.164
1,ITA.12_1,2020-03-07,-0.172,0.188
1,ITA.12_1,2020-03-08,-0.29,0.256
1,ITA.12_1,2020-03-09,-0.19,0.186
1,ITA.12_1,2020-03-10,-0.251,0.244
1,ITA.12_1,2020-03-11,-0.322,0.268
1,ITA.12_1,2020-03-12,-0.424,0.328
1,ITA.12_1,2020-03-13,-0.469,0.348
1,ITA.12_1,2020-03-14,-0.545,0.398
1,ITA.12_1,2020-03-15,-0.664,0.537
1,ITA.12_1,2020-03-16,-0.532,0.38
1,ITA.12_1,2020-03-17,-0.513,0.394
1,ITA.12_1,2020-03-18,-0.522,0.407
1,ITA.12_1,2020-03-19,-0.542,0.424
1,ITA.12_1,2020-03-20,-0.559,0.421
1,ITA.12_1,2020-03-21,-0.608,0.446
1,ITA.12_1,2020-03-22,-0.72,0.613
1,ITA.12_1,2020-03-23,-0.643,0.487
1,ITA.12_1,2020-03-24,-0.638,0.535
1,ITA.12_1,2020-03-25,-0.638,0.532
1,ITA.12_1,2020-03-26,-0.644,0.547
1,ITA.12_1,2020-03-27,-0.616,0.485
1,ITA.12_1,2020-03-28,-0.645,0.495
1,ITA.12_1,2020-03-29,-0.721,0.601
1,ITA.12_1,2020-03-30,-0.62,0.458
1,ITA.12_1,2020-03-31,-0.605,0.5
1,ITA.12_1,2020-04-01,-0.612,0.487
1,ITA.12_1,2020-04-02,-0.589,0.458
1,ITA.12_1,2020-04-03,-0.581,0.434
1,ITA.12_1,2020-04-04,-0.624,0.466
1,ITA.12_1,2020-04-05,-0.728,0.611
1,ITA.12_1,2020-04-06,-0.599,0.435
1,ITA.12_1,2020-04-07,-0.556,0.429
1,ITA.12_1,2020-04-08,-0.561,0.419
1,ITA.12_1,2020-04-09,-0.549,0.41
1,ITA.12_1,2020-04-10,-0.551,0.399
1,ITA.12_1,2020-04-11,-0.592,0.424
1,ITA.12_1,2020-04-12,-0.742,0.584
1,ITA.12_1,2020-04-13,-0.764,0.592
1,ITA.12_1,2020-04-14,-0.591,0.469
1,ITA.12_1,2020-04-15,-0.541,0.43
1,ITA.12_1,2020-04-16,-0.535,0.402
1,ITA.12_1,2020-04-17,-0.521,0.379
1,ITA.12_1,2020-04-18,-0.556,0.395
1,ITA.12_1,2020-04-19,-0.689,0.528
1,ITA.12_1,2020-04-20,-0.588,0.436
1,ITA.12_1,2020-04-21,-0.544,0.431
1,ITA.12_1,2020-04-22,-0.559,0.449
1,ITA.12_1,2020-04-23,-0.546,0.423
1,ITA.12_1,2020-04-24,-0.486,0.34
1,ITA.12_1,2020-04-25,-0.683,0.507
1,ITA.12_1,2020-04-26,-0.671,0.514
1,ITA.12_1,2020-04-27,-0.495,0.354
1,ITA.12_1,2020-04-28,-0.495,0.375
1,ITA.12_1,2020-04-29,-0.481,0.364
1,ITA.12_1,2020-04-30,-0.453,0.334
1,ITA.12_1,2020-05-01,-0.703,0.511
1,ITA.12_1,2020-05-02,-0.521,0.355
1,ITA.12_1,2020-05-03,-0.659,0.503
1,ITA.12_1,2020-05-04,-0.344,0.248
1,ITA.12_1,2020-05-05,-0.322,0.249
1,ITA.12_1,2020-05-06,-0.323,0.277
1,ITA.12_1,2020-05-07,-0.3,0.267
1,ITA.12_1,2020-05-08,-0.309,0.243
1,ITA.12_1,2020-05-09,-0.317,0.245
1,ITA.12_1,2020-05-10,-0.478,0.339
1,ITA.12_1,2020-05-11,-0.33,0.248
1,ITA.12_1,2020-05-12,-0.285,0.243
