level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2,PER.1.1_1,2020-03-01,-0.072,0.14
2,PER.1.1_1,2020-03-02,-0.031,0.11
2,PER.1.1_1,2020-03-03,-0.035,0.12
2,PER.1.1_1,2020-03-04,0.088,0.112
2,PER.1.1_1,2020-03-05,-0.019,0.128
2,PER.1.1_1,2020-03-06,-0.071,0.125
2,PER.1.1_1,2020-03-07,0.043,0.144
2,PER.1.1_1,2020-03-08,-0.067,0.14
2,PER.1.1_1,2020-03-09,-0.047,0.113
2,PER.1.1_1,2020-03-10,-0.064,0.12
2,PER.1.1_1,2020-03-11,-0.012,0.146
2,PER.1.1_1,2020-03-12,0.015,0.139
2,PER.1.1_1,2020-03-13,-0.059,0.122
2,PER.1.1_1,2020-03-14,-0.08,0.151
2,PER.1.1_1,2020-03-15,-0.14,0.154
2,PER.1.1_1,2020-03-16,-0.035,0.126
2,PER.1.1_1,2020-03-17,-0.317,0.213
2,PER.1.1_1,2020-03-18,-0.356,0.261
2,PER.1.1_1,2020-03-19,-0.427,0.267
2,PER.1.1_1,2020-03-20,-0.458,0.269
2,PER.1.1_1,2020-03-21,-0.424,0.268
2,PER.1.1_1,2020-03-22,-0.413,0.272
2,PER.1.1_1,2020-03-23,-0.467,0.291
2,PER.1.1_1,2020-03-24,-0.446,0.273
2,PER.1.1_1,2020-03-25,-0.417,0.281
2,PER.1.1_1,2020-03-26,-0.422,0.297
2,PER.1.1_1,2020-03-27,-0.434,0.258
2,PER.1.1_1,2020-03-28,-0.424,0.272
2,PER.1.1_1,2020-03-29,-0.442,0.271
2,PER.1.1_1,2020-03-30,-0.445,0.265
2,PER.1.1_1,2020-03-31,-0.446,0.285
2,PER.1.1_1,2020-04-01,-0.401,0.279
2,PER.1.1_1,2020-04-02,-0.418,0.28
2,PER.1.1_1,2020-04-03,-0.48,0.314
2,PER.1.1_1,2020-04-04,-0.515,0.341
2,PER.1.1_1,2020-04-05,-0.666,0.511
2,PER.1.1_1,2020-04-06,-0.504,0.314
2,PER.1.1_1,2020-04-07,-0.5,0.309
2,PER.1.1_1,2020-04-08,-0.448,0.318
2,PER.1.1_1,2020-04-09,-0.652,0.53
2,PER.1.1_1,2020-04-10,-0.659,0.53
2,PER.1.1_1,2020-04-11,-0.472,0.324
2,PER.1.1_1,2020-04-12,-0.662,0.511
2,PER.1.1_1,2020-04-13,-0.457,0.286
2,PER.1.1_1,2020-04-14,-0.465,0.307
2,PER.1.1_1,2020-04-15,-0.458,0.319
2,PER.1.1_1,2020-04-16,-0.472,0.312
2,PER.1.1_1,2020-04-17,-0.486,0.314
2,PER.1.1_1,2020-04-18,-0.461,0.313
2,PER.1.1_1,2020-04-19,-0.654,0.504
2,PER.1.1_1,2020-04-20,-0.485,0.299
2,PER.1.1_1,2020-04-21,-0.505,0.345
2,PER.1.1_1,2020-04-22,-0.446,0.327
2,PER.1.1_1,2020-04-23,-0.448,0.313
2,PER.1.1_1,2020-04-24,-0.453,0.301
2,PER.1.1_1,2020-04-25,-0.423,0.298
2,PER.1.1_1,2020-04-26,-0.649,0.526
2,PER.1.1_1,2020-04-27,-0.449,0.279
2,PER.1.1_1,2020-04-28,-0.454,0.312
2,PER.1.1_1,2020-04-29,-0.403,0.324
2,PER.1.1_1,2020-04-30,-0.436,0.299
2,PER.1.1_1,2020-05-01,-0.485,0.339
2,PER.1.1_1,2020-05-02,-0.429,0.31
2,PER.1.1_1,2020-05-03,-0.661,0.533
2,PER.1.1_1,2020-05-04,-0.484,0.32
2,PER.1.1_1,2020-05-05,-0.476,0.337
2,PER.1.1_1,2020-05-06,-0.422,0.35
2,PER.1.1_1,2020-05-07,-0.437,0.352
2,PER.1.1_1,2020-05-08,-0.43,0.317
2,PER.1.1_1,2020-05-09,-0.384,0.292
2,PER.1.1_1,2020-05-10,-0.625,0.465
2,PER.1.1_1,2020-05-11,-0.42,0.294
2,PER.1.1_1,2020-05-12,-0.409,0.31
2,PER.1.1_1,2020-05-13,-0.357,0.287
2,PER.1.1_1,2020-05-14,-0.396,0.303
2,PER.1.1_1,2020-05-15,-0.415,0.289
2,PER.1.1_1,2020-05-16,-0.381,0.286
2,PER.1.1_1,2020-05-17,-0.606,0.452
2,PER.1.1_1,2020-05-18,-0.39,0.267
2,PER.1.1_1,2020-05-19,-0.401,0.283
2,PER.1.1_1,2020-05-20,-0.342,0.286
2,PER.1.1_1,2020-05-21,-0.385,0.287
2,PER.1.1_1,2020-05-22,-0.39,0.282
2,PER.1.1_1,2020-05-23,-0.344,0.255
2,PER.1.1_1,2020-05-24,-0.616,0.479
2,PER.1.1_1,2020-05-25,-0.359,0.255
2,PER.1.1_1,2020-05-26,-0.37,0.279
2,PER.1.1_1,2020-05-27,-0.317,0.29
2,PER.1.1_1,2020-05-28,-0.344,0.294
2,PER.1.1_1,2020-05-29,-0.372,0.276
2,PER.1.1_1,2020-05-30,-0.337,0.255
2,PER.1.1_1,2020-05-31,-0.59,0.453
2,PER.1.2_1,2020-03-01,0.101,0.169
2,PER.1.2_1,2020-03-02,-0.001,0.134
2,PER.1.2_1,2020-03-03,0.027,0.158
2,PER.1.2_1,2020-03-04,0.022,0.167
2,PER.1.2_1,2020-03-05,0.115,0.15
2,PER.1.2_1,2020-03-06,-0.138,0.138
2,PER.1.2_1,2020-03-07,0.13,0.128
2,PER.1.2_1,2020-03-08,-0.102,0.137
2,PER.1.2_1,2020-03-09,-0.017,0.169
2,PER.1.2_1,2020-03-10,-0.03,0.139
