level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,AUS.10_1,2020-03-01,-0.011,0.168
1,AUS.10_1,2020-03-02,-0.002,0.118
1,AUS.10_1,2020-03-03,0.004,0.113
1,AUS.10_1,2020-03-04,0.011,0.11
1,AUS.10_1,2020-03-05,-0.023,0.12
1,AUS.10_1,2020-03-06,0.002,0.108
1,AUS.10_1,2020-03-07,-0.014,0.145
1,AUS.10_1,2020-03-08,0.012,0.164
1,AUS.10_1,2020-03-09,-0.12,0.186
1,AUS.10_1,2020-03-10,0.001,0.114
1,AUS.10_1,2020-03-11,0.012,0.112
1,AUS.10_1,2020-03-12,-0.002,0.112
1,AUS.10_1,2020-03-13,-0.024,0.115
1,AUS.10_1,2020-03-14,-0.084,0.162
1,AUS.10_1,2020-03-15,-0.088,0.19
1,AUS.10_1,2020-03-16,-0.033,0.13
1,AUS.10_1,2020-03-17,-0.062,0.138
1,AUS.10_1,2020-03-18,-0.098,0.146
1,AUS.10_1,2020-03-19,-0.136,0.153
1,AUS.10_1,2020-03-20,-0.158,0.159
1,AUS.10_1,2020-03-21,-0.2,0.213
1,AUS.10_1,2020-03-22,-0.252,0.261
1,AUS.10_1,2020-03-23,-0.18,0.195
1,AUS.10_1,2020-03-24,-0.285,0.248
1,AUS.10_1,2020-03-25,-0.324,0.26
1,AUS.10_1,2020-03-26,-0.347,0.261
1,AUS.10_1,2020-03-27,-0.362,0.26
1,AUS.10_1,2020-03-28,-0.411,0.319
1,AUS.10_1,2020-03-29,-0.486,0.387
1,AUS.10_1,2020-03-30,-0.386,0.299
1,AUS.10_1,2020-03-31,-0.389,0.299
1,AUS.10_1,2020-04-01,-0.39,0.292
1,AUS.10_1,2020-04-02,-0.442,0.325
1,AUS.10_1,2020-04-03,-0.421,0.29
1,AUS.10_1,2020-04-04,-0.523,0.388
1,AUS.10_1,2020-04-05,-0.547,0.428
1,AUS.10_1,2020-04-06,-0.399,0.307
1,AUS.10_1,2020-04-07,-0.395,0.306
1,AUS.10_1,2020-04-08,-0.386,0.288
1,AUS.10_1,2020-04-09,-0.358,0.264
1,AUS.10_1,2020-04-10,-0.642,0.445
1,AUS.10_1,2020-04-11,-0.54,0.376
1,AUS.10_1,2020-04-12,-0.574,0.431
1,AUS.10_1,2020-04-13,-0.56,0.381
1,AUS.10_1,2020-04-14,-0.4,0.296
1,AUS.10_1,2020-04-15,-0.391,0.287
1,AUS.10_1,2020-04-16,-0.398,0.285
1,AUS.10_1,2020-04-17,-0.403,0.281
1,AUS.10_1,2020-04-18,-0.455,0.335
1,AUS.10_1,2020-04-19,-0.477,0.364
1,AUS.10_1,2020-04-20,-0.391,0.299
1,AUS.10_1,2020-04-21,-0.356,0.281
1,AUS.10_1,2020-04-22,-0.365,0.275
1,AUS.10_1,2020-04-23,-0.375,0.278
1,AUS.10_1,2020-04-24,-0.367,0.257
1,AUS.10_1,2020-04-25,-0.449,0.328
1,AUS.10_1,2020-04-26,-0.483,0.373
1,AUS.10_1,2020-04-27,-0.358,0.277
1,AUS.10_1,2020-04-28,-0.349,0.273
1,AUS.10_1,2020-04-29,-0.402,0.314
1,AUS.10_1,2020-04-30,-0.392,0.287
1,AUS.10_1,2020-05-01,-0.412,0.298
1,AUS.10_1,2020-05-02,-0.439,0.333
1,AUS.10_1,2020-05-03,-0.437,0.348
1,AUS.10_1,2020-05-04,-0.35,0.283
1,AUS.10_1,2020-05-05,-0.321,0.256
1,AUS.10_1,2020-05-06,-0.327,0.259
1,AUS.10_1,2020-05-07,-0.342,0.26
1,AUS.10_1,2020-05-08,-0.32,0.239
1,AUS.10_1,2020-05-09,-0.4,0.317
1,AUS.10_1,2020-05-10,-0.388,0.32
1,AUS.10_1,2020-05-11,-0.324,0.266
1,AUS.10_1,2020-05-12,-0.313,0.262
1,AUS.10_1,2020-05-13,-0.299,0.25
1,AUS.10_1,2020-05-14,-0.29,0.236
1,AUS.10_1,2020-05-15,-0.265,0.218
1,AUS.10_1,2020-05-16,-0.219,0.235
1,AUS.10_1,2020-05-17,-0.241,0.27
1,AUS.10_1,2020-05-18,-0.253,0.239
1,AUS.10_1,2020-05-19,-0.271,0.247
1,AUS.10_1,2020-05-20,-0.285,0.243
1,AUS.10_1,2020-05-21,-0.311,0.251
1,AUS.10_1,2020-05-22,-0.271,0.224
1,AUS.10_1,2020-05-23,-0.265,0.258
1,AUS.10_1,2020-05-24,-0.266,0.281
1,AUS.10_1,2020-05-25,-0.23,0.226
1,AUS.10_1,2020-05-26,-0.212,0.21
1,AUS.10_1,2020-05-27,-0.227,0.214
1,AUS.10_1,2020-05-28,-0.231,0.206
1,AUS.10_1,2020-05-29,-0.203,0.194
1,AUS.10_1,2020-05-30,-0.18,0.226
1,AUS.10_1,2020-05-31,-0.251,0.272
1,AUS.11_1,2020-03-01,-0.227,0.249
1,AUS.11_1,2020-03-02,-0.149,0.175
1,AUS.11_1,2020-03-03,-0.091,0.145
1,AUS.11_1,2020-03-04,-0.075,0.137
1,AUS.11_1,2020-03-05,-0.121,0.154
1,AUS.11_1,2020-03-06,-0.135,0.149
1,AUS.11_1,2020-03-07,-0.122,0.172
1,AUS.11_1,2020-03-08,-0.202,0.242
1,AUS.11_1,2020-03-09,-0.218,0.198
1,AUS.11_1,2020-03-10,-0.269,0.228
1,AUS.11_1,2020-03-11,-0.328,0.251
1,AUS.11_1,2020-03-12,-0.417,0.318
1,AUS.11_1,2020-03-13,-0.464,0.335
1,AUS.11_1,2020-03-14,-0.587,0.441
1,AUS.11_1,2020-03-15,-0.646,0.526
1,AUS.11_1,2020-03-16,-0.503,0.375
1,AUS.11_1,2020-03-17,-0.503,0.384
1,AUS.11_1,2020-03-18,-0.527,0.4
1,AUS.11_1,2020-03-19,-0.538,0.407
1,AUS.11_1,2020-03-20,-0.555,0.41
1,AUS.11_1,2020-03-21,-0.63,0.474
1,AUS.11_1,2020-03-22,-0.714,0.62
1,AUS.11_1,2020-03-23,-0.597,0.472
1,AUS.11_1,2020-03-24,-0.592,0.474
1,AUS.11_1,2020-03-25,-0.611,0.492
1,AUS.11_1,2020-03-26,-0.632,0.502
1,AUS.11_1,2020-03-27,-0.632,0.476
1,AUS.11_1,2020-03-28,-0.675,0.51
1,AUS.11_1,2020-03-29,-0.736,0.625
1,AUS.11_1,2020-03-30,-0.628,0.488
1,AUS.11_1,2020-03-31,-0.619,0.486
1,AUS.11_1,2020-04-01,-0.619,0.47
1,AUS.11_1,2020-04-02,-0.621,0.464
1,AUS.11_1,2020-04-03,-0.619,0.449
1,AUS.11_1,2020-04-04,-0.667,0.494
1,AUS.11_1,2020-04-05,-0.732,0.61
1,AUS.11_1,2020-04-06,-0.601,0.447
1,AUS.11_1,2020-04-07,-0.587,0.442
1,AUS.11_1,2020-04-08,-0.59,0.433
1,AUS.11_1,2020-04-09,-0.584,0.423
1,AUS.11_1,2020-04-10,-0.619,0.431
1,AUS.11_1,2020-04-11,-0.65,0.464
1,AUS.11_1,2020-04-12,-0.746,0.621
1,AUS.11_1,2020-04-13,-0.767,0.611
1,AUS.11_1,2020-04-14,-0.577,0.429
1,AUS.11_1,2020-04-15,-0.566,0.419
1,AUS.11_1,2020-04-16,-0.56,0.409
1,AUS.11_1,2020-04-17,-0.561,0.395
1,AUS.11_1,2020-04-18,-0.626,0.447
1,AUS.11_1,2020-04-19,-0.711,0.578
1,AUS.11_1,2020-04-20,-0.567,0.438
1,AUS.11_1,2020-04-21,-0.547,0.423
1,AUS.11_1,2020-04-22,-0.547,0.399
1,AUS.11_1,2020-04-23,-0.539,0.387
1,AUS.11_1,2020-04-24,-0.532,0.366
1,AUS.11_1,2020-04-25,-0.674,0.5
1,AUS.11_1,2020-04-26,-0.685,0.553
1,AUS.11_1,2020-04-27,-0.525,0.378
1,AUS.11_1,2020-04-28,-0.508,0.383
1,AUS.11_1,2020-04-29,-0.508,0.371
1,AUS.11_1,2020-04-30,-0.492,0.354
1,AUS.11_1,2020-05-01,-0.688,0.513
1,AUS.11_1,2020-05-02,-0.573,0.392
1,AUS.11_1,2020-05-03,-0.64,0.505
1,AUS.11_1,2020-05-04,-0.346,0.259
1,AUS.11_1,2020-05-05,-0.33,0.255
1,AUS.11_1,2020-05-06,-0.348,0.262
1,AUS.11_1,2020-05-07,-0.33,0.247
1,AUS.11_1,2020-05-08,-0.331,0.239
1,AUS.11_1,2020-05-09,-0.351,0.263
1,AUS.11_1,2020-05-10,-0.435,0.341
1,AUS.11_1,2020-05-11,-0.369,0.292
1,AUS.11_1,2020-05-12,-0.306,0.25
1,AUS.11_1,2020-05-13,-0.337,0.272
