level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,BRA.10_1,2020-03-01,-0.15,0.294
1,BRA.10_1,2020-03-02,0.012,0.199
1,BRA.10_1,2020-03-03,-0.007,0.217
1,BRA.10_1,2020-03-04,0.008,0.211
1,BRA.10_1,2020-03-05,0.009,0.21
1,BRA.10_1,2020-03-06,0.018,0.2
1,BRA.10_1,2020-03-07,0.009,0.228
1,BRA.10_1,2020-03-08,-0.046,0.263
1,BRA.10_1,2020-03-09,-0.011,0.208
1,BRA.10_1,2020-03-10,0.032,0.208
1,BRA.10_1,2020-03-11,0.028,0.201
1,BRA.10_1,2020-03-12,0.015,0.203
1,BRA.10_1,2020-03-13,-0.006,0.21
1,BRA.10_1,2020-03-14,-0.028,0.243
1,BRA.10_1,2020-03-15,-0.101,0.289
1,BRA.10_1,2020-03-16,-0.04,0.216
1,BRA.10_1,2020-03-17,-0.062,0.235
1,BRA.10_1,2020-03-18,-0.104,0.255
1,BRA.10_1,2020-03-19,-0.154,0.278
1,BRA.10_1,2020-03-20,-0.195,0.293
1,BRA.10_1,2020-03-21,-0.25,0.342
1,BRA.10_1,2020-03-22,-0.372,0.423
1,BRA.10_1,2020-03-23,-0.355,0.37
1,BRA.10_1,2020-03-24,-0.388,0.408
1,BRA.10_1,2020-03-25,-0.421,0.422
1,BRA.10_1,2020-03-26,-0.399,0.4
1,BRA.10_1,2020-03-27,-0.394,0.388
1,BRA.10_1,2020-03-28,-0.365,0.389
1,BRA.10_1,2020-03-29,-0.374,0.413
1,BRA.10_1,2020-03-30,-0.346,0.36
1,BRA.10_1,2020-03-31,-0.33,0.37
1,BRA.10_1,2020-04-01,-0.331,0.362
1,BRA.10_1,2020-04-02,-0.329,0.362
1,BRA.10_1,2020-04-03,-0.324,0.352
1,BRA.10_1,2020-04-04,-0.304,0.362
1,BRA.10_1,2020-04-05,-0.338,0.394
1,BRA.10_1,2020-04-06,-0.29,0.334
1,BRA.10_1,2020-04-07,-0.259,0.334
1,BRA.10_1,2020-04-08,-0.283,0.339
1,BRA.10_1,2020-04-09,-0.293,0.339
1,BRA.10_1,2020-04-10,-0.475,0.417
1,BRA.10_1,2020-04-11,-0.337,0.367
1,BRA.10_1,2020-04-12,-0.343,0.397
1,BRA.10_1,2020-04-13,-0.304,0.342
1,BRA.10_1,2020-04-14,-0.33,0.376
1,BRA.10_1,2020-04-15,-0.299,0.352
1,BRA.10_1,2020-04-16,-0.308,0.36
1,BRA.10_1,2020-04-17,-0.326,0.359
1,BRA.10_1,2020-04-18,-0.3,0.362
1,BRA.10_1,2020-04-19,-0.339,0.403
1,BRA.10_1,2020-04-20,-0.291,0.337
1,BRA.10_1,2020-04-21,-0.409,0.411
1,BRA.10_1,2020-04-22,-0.291,0.342
1,BRA.10_1,2020-04-23,-0.31,0.359
1,BRA.10_1,2020-04-24,-0.313,0.355
1,BRA.10_1,2020-04-25,-0.301,0.366
1,BRA.10_1,2020-04-26,-0.34,0.407
1,BRA.10_1,2020-04-27,-0.288,0.342
1,BRA.10_1,2020-04-28,-0.273,0.349
1,BRA.10_1,2020-04-29,-0.274,0.345
1,BRA.10_1,2020-04-30,-0.259,0.339
1,BRA.10_1,2020-05-01,-0.428,0.417
1,BRA.10_1,2020-05-02,-0.29,0.361
1,BRA.10_1,2020-05-03,-0.341,0.409
1,BRA.10_1,2020-05-04,-0.256,0.332
1,BRA.10_1,2020-05-05,-0.331,0.382
1,BRA.10_1,2020-05-06,-0.317,0.382
1,BRA.10_1,2020-05-07,-0.314,0.381
1,BRA.10_1,2020-05-08,-0.311,0.37
1,BRA.10_1,2020-05-09,-0.296,0.38
1,BRA.10_1,2020-05-10,-0.313,0.394
1,BRA.10_1,2020-05-11,-0.325,0.372
1,BRA.10_1,2020-05-12,-0.305,0.382
1,BRA.10_1,2020-05-13,-0.328,0.38
1,BRA.10_1,2020-05-14,-0.335,0.392
1,BRA.10_1,2020-05-15,-0.399,0.412
