level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,DEU.10_1,2020-03-01,0.024,0.343
1,DEU.10_1,2020-03-02,0.106,0.165
1,DEU.10_1,2020-03-03,0.039,0.166
1,DEU.10_1,2020-03-04,-0.005,0.173
1,DEU.10_1,2020-03-05,0.005,0.174
1,DEU.10_1,2020-03-06,-0.036,0.179
1,DEU.10_1,2020-03-07,0.035,0.218
1,DEU.10_1,2020-03-08,0.048,0.339
1,DEU.10_1,2020-03-09,0.088,0.171
1,DEU.10_1,2020-03-10,-0.009,0.188
1,DEU.10_1,2020-03-11,-0.039,0.185
1,DEU.10_1,2020-03-12,0.004,0.172
1,DEU.10_1,2020-03-13,-0.047,0.18
1,DEU.10_1,2020-03-14,-0.03,0.237
1,DEU.10_1,2020-03-15,-0.043,0.375
1,DEU.10_1,2020-03-16,0.019,0.195
1,DEU.10_1,2020-03-17,-0.096,0.221
1,DEU.10_1,2020-03-18,-0.171,0.246
1,DEU.10_1,2020-03-19,-0.212,0.269
1,DEU.10_1,2020-03-20,-0.281,0.295
1,DEU.10_1,2020-03-21,-0.312,0.364
1,DEU.10_1,2020-03-22,-0.355,0.516
1,DEU.10_1,2020-03-23,-0.24,0.314
1,DEU.10_1,2020-03-24,-0.28,0.32
1,DEU.10_1,2020-03-25,-0.302,0.32
1,DEU.10_1,2020-03-26,-0.286,0.311
1,DEU.10_1,2020-03-27,-0.29,0.299
1,DEU.10_1,2020-03-28,-0.276,0.348
1,DEU.10_1,2020-03-29,-0.475,0.588
1,DEU.10_1,2020-03-30,-0.231,0.312
1,DEU.10_1,2020-03-31,-0.232,0.291
1,DEU.10_1,2020-04-01,-0.249,0.287
1,DEU.10_1,2020-04-02,-0.257,0.297
1,DEU.10_1,2020-04-03,-0.296,0.305
1,DEU.10_1,2020-04-04,-0.239,0.327
1,DEU.10_1,2020-04-05,-0.177,0.44
1,DEU.10_1,2020-04-06,-0.14,0.267
1,DEU.10_1,2020-04-07,-0.192,0.275
1,DEU.10_1,2020-04-08,-0.202,0.263
1,DEU.10_1,2020-04-09,-0.163,0.252
1,DEU.10_1,2020-04-10,-0.503,0.425
1,DEU.10_1,2020-04-11,-0.195,0.298
1,DEU.10_1,2020-04-12,-0.187,0.421
1,DEU.10_1,2020-04-13,-0.539,0.485
1,DEU.10_1,2020-04-14,-0.217,0.284
1,DEU.10_1,2020-04-15,-0.214,0.274
1,DEU.10_1,2020-04-16,-0.176,0.258
1,DEU.10_1,2020-04-17,-0.204,0.257
1,DEU.10_1,2020-04-18,-0.21,0.314
1,DEU.10_1,2020-04-19,-0.173,0.436
1,DEU.10_1,2020-04-20,-0.092,0.248
1,DEU.10_1,2020-04-21,-0.144,0.252
1,DEU.10_1,2020-04-22,-0.171,0.249
1,DEU.10_1,2020-04-23,-0.139,0.237
1,DEU.10_1,2020-04-24,-0.184,0.246
1,DEU.10_1,2020-04-25,-0.158,0.296
1,DEU.10_1,2020-04-26,-0.097,0.412
1,DEU.10_1,2020-04-27,-0.079,0.246
1,DEU.10_1,2020-04-28,-0.175,0.271
1,DEU.10_1,2020-04-29,-0.182,0.263
1,DEU.10_1,2020-04-30,-0.1,0.23
1,DEU.10_1,2020-05-01,-0.525,0.439
1,DEU.10_1,2020-05-02,-0.178,0.301
1,DEU.10_1,2020-05-03,-0.142,0.431
1,DEU.10_1,2020-05-04,-0.055,0.236
1,DEU.10_1,2020-05-05,-0.098,0.231
1,DEU.10_1,2020-05-06,-0.114,0.229
1,DEU.10_1,2020-05-07,-0.086,0.219
1,DEU.10_1,2020-05-08,-0.112,0.219
1,DEU.10_1,2020-05-09,-0.046,0.256
1,DEU.10_1,2020-05-10,-0.095,0.386
1,DEU.10_1,2020-05-11,-0.052,0.237
1,DEU.10_1,2020-05-12,-0.091,0.231
1,DEU.10_1,2020-05-13,-0.118,0.231
1,DEU.10_1,2020-05-14,-0.079,0.216
1,DEU.10_1,2020-05-15,-0.089,0.212
1,DEU.10_1,2020-05-16,-0.048,0.255
1,DEU.10_1,2020-05-17,0.023,0.367
1,DEU.10_1,2020-05-18,0.038,0.205
1,DEU.10_1,2020-05-19,-0.028,0.205
1,DEU.10_1,2020-05-20,-0.009,0.195
1,DEU.10_1,2020-05-21,-0.324,0.329
1,DEU.10_1,2020-05-22,-0.128,0.222
1,DEU.10_1,2020-05-23,-0.079,0.267
1,DEU.10_1,2020-05-24,-0.077,0.395
1,DEU.10_1,2020-05-25,0.017,0.21
1,DEU.10_1,2020-05-26,-0.013,0.196
1,DEU.10_1,2020-05-27,-0.041,0.198
1,DEU.10_1,2020-05-28,-0.0,0.191
1,DEU.10_1,2020-05-29,0.013,0.179
1,DEU.10_1,2020-05-30,0.091,0.215
1,DEU.10_1,2020-05-31,0.146,0.32
1,DEU.11_1,2020-03-01,0.012,0.356
1,DEU.11_1,2020-03-02,0.116,0.175
1,DEU.11_1,2020-03-03,0.074,0.179
1,DEU.11_1,2020-03-04,0.023,0.181
1,DEU.11_1,2020-03-05,0.014,0.189
1,DEU.11_1,2020-03-06,-0.016,0.187
1,DEU.11_1,2020-03-07,0.04,0.227
1,DEU.11_1,2020-03-08,0.063,0.342
1,DEU.11_1,2020-03-09,0.113,0.175
1,DEU.11_1,2020-03-10,0.031,0.198
1,DEU.11_1,2020-03-11,0.006,0.188
1,DEU.11_1,2020-03-12,0.022,0.183
1,DEU.11_1,2020-03-13,-0.008,0.184
1,DEU.11_1,2020-03-14,-0.034,0.252
1,DEU.11_1,2020-03-15,0.007,0.363
1,DEU.11_1,2020-03-16,0.043,0.202
1,DEU.11_1,2020-03-17,-0.036,0.225
1,DEU.11_1,2020-03-18,-0.128,0.251
1,DEU.11_1,2020-03-19,-0.149,0.26
1,DEU.11_1,2020-03-20,-0.203,0.272
1,DEU.11_1,2020-03-21,-0.352,0.405
1,DEU.11_1,2020-03-22,-0.38,0.534
1,DEU.11_1,2020-03-23,-0.22,0.322
1,DEU.11_1,2020-03-24,-0.237,0.33
1,DEU.11_1,2020-03-25,-0.27,0.329
1,DEU.11_1,2020-03-26,-0.262,0.32
1,DEU.11_1,2020-03-27,-0.267,0.305
1,DEU.11_1,2020-03-28,-0.261,0.356
1,DEU.11_1,2020-03-29,-0.439,0.576
1,DEU.11_1,2020-03-30,-0.186,0.31
1,DEU.11_1,2020-03-31,-0.186,0.303
1,DEU.11_1,2020-04-01,-0.214,0.293
1,DEU.11_1,2020-04-02,-0.209,0.29
1,DEU.11_1,2020-04-03,-0.258,0.308
1,DEU.11_1,2020-04-04,-0.235,0.336
1,DEU.11_1,2020-04-05,-0.203,0.455
1,DEU.11_1,2020-04-06,-0.122,0.276
1,DEU.11_1,2020-04-07,-0.143,0.277
1,DEU.11_1,2020-04-08,-0.167,0.269
1,DEU.11_1,2020-04-09,-0.138,0.263
1,DEU.11_1,2020-04-10,-0.515,0.439
1,DEU.11_1,2020-04-11,-0.193,0.307
1,DEU.11_1,2020-04-12,-0.234,0.448
1,DEU.11_1,2020-04-13,-0.561,0.505
1,DEU.11_1,2020-04-14,-0.164,0.284
1,DEU.11_1,2020-04-15,-0.184,0.282
1,DEU.11_1,2020-04-16,-0.155,0.269
1,DEU.11_1,2020-04-17,-0.187,0.264
1,DEU.11_1,2020-04-18,-0.193,0.319
1,DEU.11_1,2020-04-19,-0.188,0.45
1,DEU.11_1,2020-04-20,-0.074,0.256
1,DEU.11_1,2020-04-21,-0.1,0.259
1,DEU.11_1,2020-04-22,-0.14,0.257
1,DEU.11_1,2020-04-23,-0.119,0.248
1,DEU.11_1,2020-04-24,-0.163,0.253
1,DEU.11_1,2020-04-25,-0.134,0.297
1,DEU.11_1,2020-04-26,-0.095,0.421
1,DEU.11_1,2020-04-27,-0.062,0.255
1,DEU.11_1,2020-04-28,-0.133,0.282
1,DEU.11_1,2020-04-29,-0.129,0.262
1,DEU.11_1,2020-04-30,-0.089,0.247
1,DEU.11_1,2020-05-01,-0.555,0.474
1,DEU.11_1,2020-05-02,-0.153,0.305
1,DEU.11_1,2020-05-03,-0.133,0.438
1,DEU.11_1,2020-05-04,-0.032,0.245
1,DEU.11_1,2020-05-05,-0.05,0.24
1,DEU.11_1,2020-05-06,-0.068,0.234
1,DEU.11_1,2020-05-07,-0.055,0.225
1,DEU.11_1,2020-05-08,-0.077,0.224
1,DEU.11_1,2020-05-09,-0.083,0.281
1,DEU.11_1,2020-05-10,-0.082,0.396
1,DEU.11_1,2020-05-11,-0.075,0.273
1,DEU.11_1,2020-05-12,-0.038,0.237
1,DEU.11_1,2020-05-13,-0.076,0.237
1,DEU.11_1,2020-05-14,-0.05,0.228
1,DEU.11_1,2020-05-15,-0.056,0.218
1,DEU.11_1,2020-05-16,-0.007,0.257
1,DEU.11_1,2020-05-17,0.072,0.363
1,DEU.11_1,2020-05-18,0.069,0.213
1,DEU.11_1,2020-05-19,0.035,0.212
1,DEU.11_1,2020-05-20,0.048,0.198
1,DEU.11_1,2020-05-21,-0.329,0.342
1,DEU.11_1,2020-05-22,-0.086,0.228
1,DEU.11_1,2020-05-23,-0.096,0.291
1,DEU.11_1,2020-05-24,0.024,0.386
1,DEU.11_1,2020-05-25,0.056,0.216
1,DEU.11_1,2020-05-26,0.035,0.209
1,DEU.11_1,2020-05-27,-0.002,0.209
1,DEU.11_1,2020-05-28,0.023,0.201
1,DEU.11_1,2020-05-29,0.035,0.188
1,DEU.11_1,2020-05-30,0.098,0.229
1,DEU.11_1,2020-05-31,0.163,0.33
1,DEU.12_1,2020-03-01,-0.013,0.361
1,DEU.12_1,2020-03-02,0.136,0.179
1,DEU.12_1,2020-03-03,0.047,0.183
1,DEU.12_1,2020-03-04,0.015,0.191
1,DEU.12_1,2020-03-05,0.003,0.197
1,DEU.12_1,2020-03-06,-0.033,0.196
1,DEU.12_1,2020-03-07,0.027,0.237
1,DEU.12_1,2020-03-08,0.035,0.347
1,DEU.12_1,2020-03-09,0.124,0.182
1,DEU.12_1,2020-03-10,0.007,0.201
1,DEU.12_1,2020-03-11,0.007,0.194
1,DEU.12_1,2020-03-12,0.007,0.195
1,DEU.12_1,2020-03-13,-0.025,0.188
1,DEU.12_1,2020-03-14,-0.043,0.26
1,DEU.12_1,2020-03-15,0.004,0.367
1,DEU.12_1,2020-03-16,0.034,0.217
1,DEU.12_1,2020-03-17,-0.091,0.241
1,DEU.12_1,2020-03-18,-0.162,0.268
1,DEU.12_1,2020-03-19,-0.202,0.283
1,DEU.12_1,2020-03-20,-0.234,0.286
1,DEU.12_1,2020-03-21,-0.445,0.453
1,DEU.12_1,2020-03-22,-0.456,0.574
1,DEU.12_1,2020-03-23,-0.289,0.36
1,DEU.12_1,2020-03-24,-0.328,0.363
1,DEU.12_1,2020-03-25,-0.343,0.368
1,DEU.12_1,2020-03-26,-0.325,0.358
1,DEU.12_1,2020-03-27,-0.317,0.339
1,DEU.12_1,2020-03-28,-0.307,0.378
1,DEU.12_1,2020-03-29,-0.463,0.584
1,DEU.12_1,2020-03-30,-0.232,0.336
1,DEU.12_1,2020-03-31,-0.262,0.333
1,DEU.12_1,2020-04-01,-0.276,0.327
1,DEU.12_1,2020-04-02,-0.268,0.327
1,DEU.12_1,2020-04-03,-0.331,0.344
1,DEU.12_1,2020-04-04,-0.297,0.368
1,DEU.12_1,2020-04-05,-0.271,0.484
1,DEU.12_1,2020-04-06,-0.172,0.304
1,DEU.12_1,2020-04-07,-0.217,0.314
1,DEU.12_1,2020-04-08,-0.218,0.302
1,DEU.12_1,2020-04-09,-0.186,0.289
1,DEU.12_1,2020-04-10,-0.548,0.474
1,DEU.12_1,2020-04-11,-0.234,0.332
1,DEU.12_1,2020-04-12,-0.306,0.48
1,DEU.12_1,2020-04-13,-0.55,0.511
1,DEU.12_1,2020-04-14,-0.208,0.307
1,DEU.12_1,2020-04-15,-0.238,0.312
1,DEU.12_1,2020-04-16,-0.208,0.298
1,DEU.12_1,2020-04-17,-0.232,0.291
1,DEU.12_1,2020-04-18,-0.222,0.343
1,DEU.12_1,2020-04-19,-0.216,0.463
1,DEU.12_1,2020-04-20,-0.1,0.283
1,DEU.12_1,2020-04-21,-0.16,0.288
1,DEU.12_1,2020-04-22,-0.172,0.283
1,DEU.12_1,2020-04-23,-0.154,0.273
1,DEU.12_1,2020-04-24,-0.208,0.28
1,DEU.12_1,2020-04-25,-0.169,0.322
1,DEU.12_1,2020-04-26,-0.158,0.444
1,DEU.12_1,2020-04-27,-0.076,0.269
1,DEU.12_1,2020-04-28,-0.183,0.305
1,DEU.12_1,2020-04-29,-0.164,0.289
1,DEU.12_1,2020-04-30,-0.114,0.266
1,DEU.12_1,2020-05-01,-0.581,0.501
1,DEU.12_1,2020-05-02,-0.164,0.317
1,DEU.12_1,2020-05-03,-0.171,0.456
1,DEU.12_1,2020-05-04,-0.011,0.251
1,DEU.12_1,2020-05-05,-0.09,0.252
1,DEU.12_1,2020-05-06,-0.088,0.246
1,DEU.12_1,2020-05-07,-0.062,0.24
1,DEU.12_1,2020-05-08,-0.108,0.239
1,DEU.12_1,2020-05-09,-0.09,0.287
1,DEU.12_1,2020-05-10,-0.113,0.396
1,DEU.12_1,2020-05-11,-0.081,0.279
1,DEU.12_1,2020-05-12,-0.068,0.247
1,DEU.12_1,2020-05-13,-0.1,0.253
1,DEU.12_1,2020-05-14,-0.057,0.241
