level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,JPN.10_1,2020-03-01,-0.065,0.162
1,JPN.10_1,2020-03-02,-0.056,0.113
1,JPN.10_1,2020-03-03,-0.033,0.109
1,JPN.10_1,2020-03-04,-0.071,0.116
1,JPN.10_1,2020-03-05,-0.049,0.108
1,JPN.10_1,2020-03-06,-0.061,0.108
1,JPN.10_1,2020-03-07,-0.069,0.138
1,JPN.10_1,2020-03-08,-0.166,0.196
1,JPN.10_1,2020-03-09,-0.06,0.11
1,JPN.10_1,2020-03-10,-0.086,0.126
1,JPN.10_1,2020-03-11,-0.053,0.105
1,JPN.10_1,2020-03-12,-0.048,0.11
1,JPN.10_1,2020-03-13,-0.059,0.105
1,JPN.10_1,2020-03-14,-0.153,0.17
1,JPN.10_1,2020-03-15,-0.081,0.173
1,JPN.10_1,2020-03-16,-0.052,0.117
1,JPN.10_1,2020-03-17,-0.019,0.109
1,JPN.10_1,2020-03-18,-0.015,0.111
1,JPN.10_1,2020-03-19,0.005,0.107
1,JPN.10_1,2020-03-20,-0.14,0.141
1,JPN.10_1,2020-03-21,-0.022,0.138
1,JPN.10_1,2020-03-22,-0.048,0.173
1,JPN.10_1,2020-03-23,-0.024,0.116
1,JPN.10_1,2020-03-24,-0.038,0.116
1,JPN.10_1,2020-03-25,-0.005,0.111
1,JPN.10_1,2020-03-26,-0.009,0.105
1,JPN.10_1,2020-03-27,-0.04,0.108
1,JPN.10_1,2020-03-28,-0.097,0.149
1,JPN.10_1,2020-03-29,-0.311,0.247
1,JPN.10_1,2020-03-30,-0.07,0.122
1,JPN.10_1,2020-03-31,-0.066,0.118
1,JPN.10_1,2020-04-01,-0.115,0.134
1,JPN.10_1,2020-04-02,-0.096,0.121
1,JPN.10_1,2020-04-03,-0.074,0.11
1,JPN.10_1,2020-04-04,-0.103,0.145
1,JPN.10_1,2020-04-05,-0.177,0.2
1,JPN.10_1,2020-04-06,-0.102,0.125
1,JPN.10_1,2020-04-07,-0.092,0.12
1,JPN.10_1,2020-04-08,-0.103,0.123
1,JPN.10_1,2020-04-09,-0.108,0.129
1,JPN.10_1,2020-04-10,-0.132,0.128
1,JPN.10_1,2020-04-11,-0.194,0.178
1,JPN.10_1,2020-04-12,-0.283,0.23
1,JPN.10_1,2020-04-13,-0.221,0.177
1,JPN.10_1,2020-04-14,-0.151,0.146
1,JPN.10_1,2020-04-15,-0.103,0.127
1,JPN.10_1,2020-04-16,-0.128,0.133
1,JPN.10_1,2020-04-17,-0.171,0.137
1,JPN.10_1,2020-04-18,-0.377,0.26
1,JPN.10_1,2020-04-19,-0.265,0.225
1,JPN.10_1,2020-04-20,-0.211,0.172
1,JPN.10_1,2020-04-21,-0.167,0.151
1,JPN.10_1,2020-04-22,-0.181,0.162
1,JPN.10_1,2020-04-23,-0.189,0.16
1,JPN.10_1,2020-04-24,-0.2,0.151
1,JPN.10_1,2020-04-25,-0.25,0.198
1,JPN.10_1,2020-04-26,-0.298,0.241
1,JPN.10_1,2020-04-27,-0.174,0.159
1,JPN.10_1,2020-04-28,-0.167,0.159
1,JPN.10_1,2020-04-29,-0.321,0.208
1,JPN.10_1,2020-04-30,-0.176,0.157
1,JPN.10_1,2020-05-01,-0.203,0.164
1,JPN.10_1,2020-05-02,-0.264,0.203
1,JPN.10_1,2020-05-03,-0.283,0.232
1,JPN.10_1,2020-05-04,-0.348,0.235
1,JPN.10_1,2020-05-05,-0.332,0.241
1,JPN.10_1,2020-05-06,-0.437,0.284
1,JPN.10_1,2020-05-07,-0.193,0.166
1,JPN.10_1,2020-05-08,-0.183,0.152
1,JPN.10_1,2020-05-09,-0.24,0.201
1,JPN.10_1,2020-05-10,-0.264,0.224
1,JPN.10_1,2020-05-11,-0.138,0.147
1,JPN.10_1,2020-05-12,-0.145,0.146
1,JPN.10_1,2020-05-13,-0.154,0.148
1,JPN.10_1,2020-05-14,-0.146,0.147
1,JPN.10_1,2020-05-15,-0.14,0.136
1,JPN.10_1,2020-05-16,-0.241,0.204
1,JPN.10_1,2020-05-17,-0.179,0.202
1,JPN.10_1,2020-05-18,-0.144,0.146
1,JPN.10_1,2020-05-19,-0.176,0.163
1,JPN.10_1,2020-05-20,-0.142,0.146
1,JPN.10_1,2020-05-21,-0.148,0.151
1,JPN.10_1,2020-05-22,-0.141,0.136
1,JPN.10_1,2020-05-23,-0.172,0.175
1,JPN.10_1,2020-05-24,-0.146,0.195
1,JPN.10_1,2020-05-25,-0.095,0.13
1,JPN.10_1,2020-05-26,-0.12,0.138
1,JPN.10_1,2020-05-27,-0.097,0.13
1,JPN.10_1,2020-05-28,-0.075,0.131
1,JPN.10_1,2020-05-29,-0.096,0.126
1,JPN.10_1,2020-05-30,-0.068,0.152
1,JPN.10_1,2020-05-31,-0.103,0.181
1,JPN.11_1,2020-03-01,-0.07,0.17
1,JPN.11_1,2020-03-02,-0.038,0.112
1,JPN.11_1,2020-03-03,-0.022,0.109
1,JPN.11_1,2020-03-04,-0.055,0.126
1,JPN.11_1,2020-03-05,-0.054,0.117
1,JPN.11_1,2020-03-06,-0.031,0.109
1,JPN.11_1,2020-03-07,-0.097,0.15
1,JPN.11_1,2020-03-08,-0.145,0.194
1,JPN.11_1,2020-03-09,-0.042,0.118
1,JPN.11_1,2020-03-10,-0.047,0.123
