level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,KOR.10_1,2020-03-01,-0.259,0.299
1,KOR.10_1,2020-03-02,-0.129,0.207
1,KOR.10_1,2020-03-03,-0.14,0.211
1,KOR.10_1,2020-03-04,-0.109,0.209
1,KOR.10_1,2020-03-05,-0.143,0.209
1,KOR.10_1,2020-03-06,-0.121,0.199
1,KOR.10_1,2020-03-07,-0.145,0.235
1,KOR.10_1,2020-03-08,-0.135,0.257
1,KOR.10_1,2020-03-09,-0.105,0.191
1,KOR.10_1,2020-03-10,-0.173,0.213
1,KOR.10_1,2020-03-11,-0.062,0.183
1,KOR.10_1,2020-03-12,-0.085,0.186
1,KOR.10_1,2020-03-13,-0.077,0.18
1,KOR.10_1,2020-03-14,-0.009,0.19
1,KOR.10_1,2020-03-15,-0.106,0.243
1,KOR.10_1,2020-03-16,-0.072,0.181
1,KOR.10_1,2020-03-17,-0.074,0.177
1,KOR.10_1,2020-03-18,-0.035,0.173
1,KOR.10_1,2020-03-19,-0.086,0.186
1,KOR.10_1,2020-03-20,-0.057,0.172
1,KOR.10_1,2020-03-21,0.04,0.176
1,KOR.10_1,2020-03-22,-0.014,0.222
1,KOR.10_1,2020-03-23,-0.032,0.167
1,KOR.10_1,2020-03-24,-0.04,0.172
1,KOR.10_1,2020-03-25,0.007,0.167
1,KOR.10_1,2020-03-26,-0.108,0.196
1,KOR.10_1,2020-03-27,-0.108,0.185
1,KOR.10_1,2020-03-28,0.016,0.185
1,KOR.10_1,2020-03-29,0.015,0.221
1,KOR.10_1,2020-03-30,-0.014,0.168
1,KOR.10_1,2020-03-31,-0.022,0.168
1,KOR.10_1,2020-04-01,-0.03,0.173
1,KOR.10_1,2020-04-02,-0.034,0.171
1,KOR.10_1,2020-04-03,-0.021,0.164
1,KOR.10_1,2020-04-04,0.064,0.177
1,KOR.10_1,2020-04-05,0.016,0.218
1,KOR.10_1,2020-04-06,-0.019,0.165
1,KOR.10_1,2020-04-07,-0.036,0.168
1,KOR.10_1,2020-04-08,-0.004,0.163
1,KOR.10_1,2020-04-09,-0.039,0.169
1,KOR.10_1,2020-04-10,-0.027,0.165
1,KOR.10_1,2020-04-11,0.029,0.178
1,KOR.10_1,2020-04-12,-0.124,0.257
1,KOR.10_1,2020-04-13,-0.038,0.171
1,KOR.10_1,2020-04-14,0.005,0.16
1,KOR.10_1,2020-04-15,-0.003,0.169
1,KOR.10_1,2020-04-16,-0.035,0.168
1,KOR.10_1,2020-04-17,-0.108,0.193
1,KOR.10_1,2020-04-18,0.081,0.165
1,KOR.10_1,2020-04-19,-0.076,0.241
1,KOR.10_1,2020-04-20,-0.022,0.167
1,KOR.10_1,2020-04-21,-0.006,0.163
1,KOR.10_1,2020-04-22,0.007,0.164
1,KOR.10_1,2020-04-23,-0.022,0.168
1,KOR.10_1,2020-04-24,0.013,0.152
1,KOR.10_1,2020-04-25,0.094,0.161
1,KOR.10_1,2020-04-26,0.083,0.198
1,KOR.10_1,2020-04-27,0.029,0.157
1,KOR.10_1,2020-04-28,0.03,0.157
1,KOR.10_1,2020-04-29,0.113,0.146
1,KOR.10_1,2020-04-30,0.137,0.163
1,KOR.10_1,2020-05-01,0.122,0.152
1,KOR.10_1,2020-05-02,0.252,0.149
1,KOR.10_1,2020-05-03,0.036,0.22
1,KOR.10_1,2020-05-04,0.112,0.152
1,KOR.10_1,2020-05-05,0.073,0.166
1,KOR.10_1,2020-05-06,0.083,0.143
1,KOR.10_1,2020-05-07,0.064,0.144
1,KOR.10_1,2020-05-08,0.127,0.13
1,KOR.10_1,2020-05-09,0.028,0.182
1,KOR.10_1,2020-05-10,0.135,0.181
1,KOR.10_1,2020-05-11,0.089,0.14
