level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,ZAF.1_1,2020-03-01,-0.038,0.186
1,ZAF.1_1,2020-03-02,0.054,0.119
1,ZAF.1_1,2020-03-03,0.01,0.124
1,ZAF.1_1,2020-03-04,0.008,0.125
1,ZAF.1_1,2020-03-05,0.014,0.126
1,ZAF.1_1,2020-03-06,-0.009,0.114
1,ZAF.1_1,2020-03-07,-0.002,0.161
1,ZAF.1_1,2020-03-08,-0.088,0.202
1,ZAF.1_1,2020-03-09,-0.015,0.135
1,ZAF.1_1,2020-03-10,-0.048,0.137
1,ZAF.1_1,2020-03-11,-0.036,0.129
1,ZAF.1_1,2020-03-12,-0.036,0.128
1,ZAF.1_1,2020-03-13,-0.017,0.11
1,ZAF.1_1,2020-03-14,-0.026,0.164
1,ZAF.1_1,2020-03-15,-0.143,0.22
1,ZAF.1_1,2020-03-16,-0.062,0.149
1,ZAF.1_1,2020-03-17,-0.079,0.15
1,ZAF.1_1,2020-03-18,-0.084,0.153
1,ZAF.1_1,2020-03-19,-0.091,0.158
1,ZAF.1_1,2020-03-20,-0.104,0.145
1,ZAF.1_1,2020-03-21,-0.115,0.193
1,ZAF.1_1,2020-03-22,-0.202,0.24
1,ZAF.1_1,2020-03-23,-0.121,0.174
1,ZAF.1_1,2020-03-24,-0.075,0.159
1,ZAF.1_1,2020-03-25,0.028,0.145
1,ZAF.1_1,2020-03-26,0.082,0.142
1,ZAF.1_1,2020-03-27,-0.568,0.377
1,ZAF.1_1,2020-03-28,-0.597,0.439
1,ZAF.1_1,2020-03-29,-0.619,0.478
1,ZAF.1_1,2020-03-30,-0.516,0.383
1,ZAF.1_1,2020-03-31,-0.515,0.38
1,ZAF.1_1,2020-04-01,-0.514,0.378
1,ZAF.1_1,2020-04-02,-0.513,0.368
1,ZAF.1_1,2020-04-03,-0.531,0.353
1,ZAF.1_1,2020-04-04,-0.541,0.397
1,ZAF.1_1,2020-04-05,-0.57,0.437
1,ZAF.1_1,2020-04-06,-0.515,0.38
1,ZAF.1_1,2020-04-07,-0.529,0.392
1,ZAF.1_1,2020-04-08,-0.52,0.373
1,ZAF.1_1,2020-04-09,-0.507,0.374
1,ZAF.1_1,2020-04-10,-0.641,0.437
1,ZAF.1_1,2020-04-11,-0.565,0.416
1,ZAF.1_1,2020-04-12,-0.608,0.479
1,ZAF.1_1,2020-04-13,-0.612,0.453
1,ZAF.1_1,2020-04-14,-0.521,0.389
1,ZAF.1_1,2020-04-15,-0.496,0.371
1,ZAF.1_1,2020-04-16,-0.497,0.369
1,ZAF.1_1,2020-04-17,-0.518,0.347
1,ZAF.1_1,2020-04-18,-0.522,0.388
1,ZAF.1_1,2020-04-19,-0.561,0.436
1,ZAF.1_1,2020-04-20,-0.459,0.35
1,ZAF.1_1,2020-04-21,-0.475,0.357
1,ZAF.1_1,2020-04-22,-0.489,0.357
1,ZAF.1_1,2020-04-23,-0.491,0.36
1,ZAF.1_1,2020-04-24,-0.478,0.328
1,ZAF.1_1,2020-04-25,-0.471,0.366
1,ZAF.1_1,2020-04-26,-0.543,0.431
1,ZAF.1_1,2020-04-27,-0.573,0.434
1,ZAF.1_1,2020-04-28,-0.459,0.353
1,ZAF.1_1,2020-04-29,-0.455,0.343
1,ZAF.1_1,2020-04-30,-0.403,0.312
1,ZAF.1_1,2020-05-01,-0.452,0.309
1,ZAF.1_1,2020-05-02,-0.357,0.301
1,ZAF.1_1,2020-05-03,-0.44,0.374
1,ZAF.1_1,2020-05-04,-0.277,0.267
1,ZAF.1_1,2020-05-05,-0.288,0.269
1,ZAF.1_1,2020-05-06,-0.254,0.26
1,ZAF.1_1,2020-05-07,-0.265,0.256
1,ZAF.1_1,2020-05-08,-0.342,0.25
1,ZAF.1_1,2020-05-09,-0.337,0.29
1,ZAF.1_1,2020-05-10,-0.42,0.339
1,ZAF.1_1,2020-05-11,-0.294,0.265
1,ZAF.1_1,2020-05-12,-0.3,0.265
1,ZAF.1_1,2020-05-13,-0.295,0.263
1,ZAF.1_1,2020-05-14,-0.293,0.255
1,ZAF.1_1,2020-05-15,-0.287,0.234
1,ZAF.1_1,2020-05-16,-0.297,0.274
1,ZAF.1_1,2020-05-17,-0.386,0.331
1,ZAF.1_1,2020-05-18,-0.236,0.236
1,ZAF.1_1,2020-05-19,-0.281,0.251
1,ZAF.1_1,2020-05-20,-0.258,0.242
1,ZAF.1_1,2020-05-21,-0.275,0.251
1,ZAF.1_1,2020-05-22,-0.292,0.231
1,ZAF.1_1,2020-05-23,-0.29,0.271
1,ZAF.1_1,2020-05-24,-0.385,0.328
1,ZAF.1_1,2020-05-25,-0.232,0.239
1,ZAF.1_1,2020-05-26,-0.31,0.276
1,ZAF.1_1,2020-05-27,-0.268,0.256
1,ZAF.1_1,2020-05-28,-0.238,0.238
1,ZAF.1_1,2020-05-29,-0.259,0.226
1,ZAF.1_1,2020-05-30,-0.213,0.247
1,ZAF.1_1,2020-05-31,-0.3,0.295
1,ZAF.2_1,2020-03-01,-0.03,0.214
1,ZAF.2_1,2020-03-02,0.036,0.126
1,ZAF.2_1,2020-03-03,0.009,0.122
1,ZAF.2_1,2020-03-04,0.021,0.125
1,ZAF.2_1,2020-03-05,0.027,0.126
1,ZAF.2_1,2020-03-06,0.011,0.118
1,ZAF.2_1,2020-03-07,0.024,0.164
1,ZAF.2_1,2020-03-08,-0.035,0.209
1,ZAF.2_1,2020-03-09,-0.001,0.13
1,ZAF.2_1,2020-03-10,-0.02,0.131
1,ZAF.2_1,2020-03-11,-0.03,0.135
1,ZAF.2_1,2020-03-12,-0.031,0.139
1,ZAF.2_1,2020-03-13,-0.038,0.121
1,ZAF.2_1,2020-03-14,-0.016,0.173
1,ZAF.2_1,2020-03-15,-0.087,0.221
1,ZAF.2_1,2020-03-16,-0.025,0.137
1,ZAF.2_1,2020-03-17,-0.078,0.155
1,ZAF.2_1,2020-03-18,-0.066,0.158
1,ZAF.2_1,2020-03-19,-0.081,0.168
1,ZAF.2_1,2020-03-20,-0.094,0.153
1,ZAF.2_1,2020-03-21,-0.113,0.214
1,ZAF.2_1,2020-03-22,-0.194,0.276
1,ZAF.2_1,2020-03-23,-0.126,0.182
1,ZAF.2_1,2020-03-24,-0.068,0.164
1,ZAF.2_1,2020-03-25,0.016,0.153
1,ZAF.2_1,2020-03-26,0.125,0.14
1,ZAF.2_1,2020-03-27,-0.562,0.394
1,ZAF.2_1,2020-03-28,-0.601,0.469
1,ZAF.2_1,2020-03-29,-0.61,0.508
1,ZAF.2_1,2020-03-30,-0.53,0.405
1,ZAF.2_1,2020-03-31,-0.516,0.399
1,ZAF.2_1,2020-04-01,-0.493,0.371
1,ZAF.2_1,2020-04-02,-0.496,0.381
1,ZAF.2_1,2020-04-03,-0.555,0.397
1,ZAF.2_1,2020-04-04,-0.549,0.431
1,ZAF.2_1,2020-04-05,-0.559,0.459
1,ZAF.2_1,2020-04-06,-0.511,0.389
1,ZAF.2_1,2020-04-07,-0.505,0.385
1,ZAF.2_1,2020-04-08,-0.516,0.389
1,ZAF.2_1,2020-04-09,-0.51,0.39
1,ZAF.2_1,2020-04-10,-0.657,0.481
1,ZAF.2_1,2020-04-11,-0.566,0.433
1,ZAF.2_1,2020-04-12,-0.584,0.484
1,ZAF.2_1,2020-04-13,-0.609,0.465
1,ZAF.2_1,2020-04-14,-0.525,0.417
1,ZAF.2_1,2020-04-15,-0.453,0.369
1,ZAF.2_1,2020-04-16,-0.458,0.364
1,ZAF.2_1,2020-04-17,-0.491,0.347
1,ZAF.2_1,2020-04-18,-0.498,0.396
1,ZAF.2_1,2020-04-19,-0.541,0.449
1,ZAF.2_1,2020-04-20,-0.438,0.35
1,ZAF.2_1,2020-04-21,-0.441,0.354
1,ZAF.2_1,2020-04-22,-0.451,0.348
1,ZAF.2_1,2020-04-23,-0.457,0.362
1,ZAF.2_1,2020-04-24,-0.451,0.327
1,ZAF.2_1,2020-04-25,-0.447,0.367
1,ZAF.2_1,2020-04-26,-0.511,0.437
1,ZAF.2_1,2020-04-27,-0.564,0.438
1,ZAF.2_1,2020-04-28,-0.409,0.339
1,ZAF.2_1,2020-04-29,-0.41,0.333
1,ZAF.2_1,2020-04-30,-0.345,0.303
1,ZAF.2_1,2020-05-01,-0.42,0.305
1,ZAF.2_1,2020-05-02,-0.322,0.294
1,ZAF.2_1,2020-05-03,-0.364,0.361
1,ZAF.2_1,2020-05-04,-0.226,0.254
1,ZAF.2_1,2020-05-05,-0.244,0.25
1,ZAF.2_1,2020-05-06,-0.203,0.242
1,ZAF.2_1,2020-05-07,-0.193,0.241
1,ZAF.2_1,2020-05-08,-0.308,0.246
1,ZAF.2_1,2020-05-09,-0.315,0.296
1,ZAF.2_1,2020-05-10,-0.383,0.343
1,ZAF.2_1,2020-05-11,-0.269,0.258
1,ZAF.2_1,2020-05-12,-0.267,0.259
1,ZAF.2_1,2020-05-13,-0.259,0.255
1,ZAF.2_1,2020-05-14,-0.252,0.256
1,ZAF.2_1,2020-05-15,-0.252,0.228
1,ZAF.2_1,2020-05-16,-0.264,0.266
1,ZAF.2_1,2020-05-17,-0.369,0.349
1,ZAF.2_1,2020-05-18,-0.219,0.238
1,ZAF.2_1,2020-05-19,-0.244,0.243
1,ZAF.2_1,2020-05-20,-0.231,0.245
1,ZAF.2_1,2020-05-21,-0.235,0.245
1,ZAF.2_1,2020-05-22,-0.271,0.227
1,ZAF.2_1,2020-05-23,-0.271,0.272
1,ZAF.2_1,2020-05-24,-0.365,0.346
1,ZAF.2_1,2020-05-25,-0.219,0.241
1,ZAF.2_1,2020-05-26,-0.217,0.247
1,ZAF.2_1,2020-05-27,-0.202,0.243
1,ZAF.2_1,2020-05-28,-0.196,0.229
1,ZAF.2_1,2020-05-29,-0.189,0.202
1,ZAF.2_1,2020-05-30,-0.177,0.244
1,ZAF.2_1,2020-05-31,-0.258,0.305
1,ZAF.3_1,2020-03-01,-0.047,0.183
1,ZAF.3_1,2020-03-02,0.005,0.124
1,ZAF.3_1,2020-03-03,0.011,0.116
1,ZAF.3_1,2020-03-04,0.017,0.115
1,ZAF.3_1,2020-03-05,0.017,0.116
1,ZAF.3_1,2020-03-06,0.009,0.106
1,ZAF.3_1,2020-03-07,0.028,0.149
1,ZAF.3_1,2020-03-08,-0.076,0.187
1,ZAF.3_1,2020-03-09,-0.009,0.121
1,ZAF.3_1,2020-03-10,-0.02,0.119
1,ZAF.3_1,2020-03-11,-0.024,0.121
1,ZAF.3_1,2020-03-12,-0.031,0.121
1,ZAF.3_1,2020-03-13,-0.042,0.117
1,ZAF.3_1,2020-03-14,-0.034,0.161
1,ZAF.3_1,2020-03-15,-0.119,0.2
1,ZAF.3_1,2020-03-16,-0.055,0.132
1,ZAF.3_1,2020-03-17,-0.121,0.151
1,ZAF.3_1,2020-03-18,-0.164,0.165
1,ZAF.3_1,2020-03-19,-0.176,0.171
1,ZAF.3_1,2020-03-20,-0.184,0.159
1,ZAF.3_1,2020-03-21,-0.191,0.22
1,ZAF.3_1,2020-03-22,-0.316,0.284
1,ZAF.3_1,2020-03-23,-0.211,0.189
1,ZAF.3_1,2020-03-24,-0.167,0.167
1,ZAF.3_1,2020-03-25,-0.078,0.151
1,ZAF.3_1,2020-03-26,-0.009,0.143
1,ZAF.3_1,2020-03-27,-0.655,0.428
1,ZAF.3_1,2020-03-28,-0.68,0.497
1,ZAF.3_1,2020-03-29,-0.679,0.511
1,ZAF.3_1,2020-03-30,-0.643,0.441
1,ZAF.3_1,2020-03-31,-0.63,0.428
1,ZAF.3_1,2020-04-01,-0.62,0.414
1,ZAF.3_1,2020-04-02,-0.63,0.437
1,ZAF.3_1,2020-04-03,-0.643,0.422
1,ZAF.3_1,2020-04-04,-0.657,0.485
1,ZAF.3_1,2020-04-05,-0.635,0.471
1,ZAF.3_1,2020-04-06,-0.62,0.418
1,ZAF.3_1,2020-04-07,-0.618,0.415
1,ZAF.3_1,2020-04-08,-0.631,0.425
1,ZAF.3_1,2020-04-09,-0.62,0.427
1,ZAF.3_1,2020-04-10,-0.714,0.482
1,ZAF.3_1,2020-04-11,-0.631,0.453
1,ZAF.3_1,2020-04-12,-0.648,0.495
1,ZAF.3_1,2020-04-13,-0.702,0.494
1,ZAF.3_1,2020-04-14,-0.62,0.436
1,ZAF.3_1,2020-04-15,-0.599,0.417
1,ZAF.3_1,2020-04-16,-0.599,0.417
1,ZAF.3_1,2020-04-17,-0.607,0.398
1,ZAF.3_1,2020-04-18,-0.603,0.441
1,ZAF.3_1,2020-04-19,-0.622,0.474
1,ZAF.3_1,2020-04-20,-0.578,0.401
1,ZAF.3_1,2020-04-21,-0.58,0.4
1,ZAF.3_1,2020-04-22,-0.587,0.398
1,ZAF.3_1,2020-04-23,-0.589,0.409
1,ZAF.3_1,2020-04-24,-0.567,0.37
1,ZAF.3_1,2020-04-25,-0.53,0.392
1,ZAF.3_1,2020-04-26,-0.583,0.45
1,ZAF.3_1,2020-04-27,-0.642,0.449
1,ZAF.3_1,2020-04-28,-0.553,0.397
1,ZAF.3_1,2020-04-29,-0.545,0.379
1,ZAF.3_1,2020-04-30,-0.504,0.35
1,ZAF.3_1,2020-05-01,-0.523,0.333
1,ZAF.3_1,2020-05-02,-0.404,0.321
1,ZAF.3_1,2020-05-03,-0.453,0.371
1,ZAF.3_1,2020-05-04,-0.371,0.284
1,ZAF.3_1,2020-05-05,-0.382,0.288
1,ZAF.3_1,2020-05-06,-0.358,0.284
1,ZAF.3_1,2020-05-07,-0.361,0.285
1,ZAF.3_1,2020-05-08,-0.413,0.28
1,ZAF.3_1,2020-05-09,-0.382,0.309
1,ZAF.3_1,2020-05-10,-0.446,0.354
1,ZAF.3_1,2020-05-11,-0.389,0.293
1,ZAF.3_1,2020-05-12,-0.387,0.29
1,ZAF.3_1,2020-05-13,-0.373,0.28
1,ZAF.3_1,2020-05-14,-0.376,0.286
1,ZAF.3_1,2020-05-15,-0.372,0.265
1,ZAF.3_1,2020-05-16,-0.347,0.295
1,ZAF.3_1,2020-05-17,-0.431,0.352
1,ZAF.3_1,2020-05-18,-0.352,0.276
1,ZAF.3_1,2020-05-19,-0.373,0.28
1,ZAF.3_1,2020-05-20,-0.361,0.278
1,ZAF.3_1,2020-05-21,-0.365,0.28
1,ZAF.3_1,2020-05-22,-0.369,0.261
1,ZAF.3_1,2020-05-23,-0.328,0.288
1,ZAF.3_1,2020-05-24,-0.413,0.344
1,ZAF.3_1,2020-05-25,-0.329,0.267
1,ZAF.3_1,2020-05-26,-0.324,0.263
1,ZAF.3_1,2020-05-27,-0.326,0.27
1,ZAF.3_1,2020-05-28,-0.32,0.263
1,ZAF.3_1,2020-05-29,-0.307,0.238
1,ZAF.3_1,2020-05-30,-0.24,0.257
1,ZAF.3_1,2020-05-31,-0.326,0.305
1,ZAF.4_1,2020-03-01,-0.02,0.178
1,ZAF.4_1,2020-03-02,0.051,0.121
1,ZAF.4_1,2020-03-03,0.02,0.124
1,ZAF.4_1,2020-03-04,0.026,0.124
1,ZAF.4_1,2020-03-05,0.017,0.127
1,ZAF.4_1,2020-03-06,0.011,0.118
1,ZAF.4_1,2020-03-07,-0.005,0.159
1,ZAF.4_1,2020-03-08,-0.065,0.189
1,ZAF.4_1,2020-03-09,0.001,0.131
1,ZAF.4_1,2020-03-10,-0.033,0.133
