level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
0,AUS,2020-03-01,-0.109,0.215
0,AUS,2020-03-02,-0.069,0.15
0,AUS,2020-03-03,-0.042,0.133
0,AUS,2020-03-04,-0.041,0.129
0,AUS,2020-03-05,-0.07,0.139
0,AUS,2020-03-06,-0.072,0.132
0,AUS,2020-03-07,-0.068,0.165
0,AUS,2020-03-08,-0.103,0.214
0,AUS,2020-03-09,-0.141,0.181
0,AUS,2020-03-10,-0.139,0.177
0,AUS,2020-03-11,-0.165,0.185
0,AUS,2020-03-12,-0.208,0.218
0,AUS,2020-03-13,-0.241,0.226
0,AUS,2020-03-14,-0.326,0.307
0,AUS,2020-03-15,-0.353,0.364
0,AUS,2020-03-16,-0.269,0.258
0,AUS,2020-03-17,-0.281,0.263
0,AUS,2020-03-18,-0.303,0.273
0,AUS,2020-03-19,-0.318,0.278
0,AUS,2020-03-20,-0.339,0.282
0,AUS,2020-03-21,-0.396,0.344
0,AUS,2020-03-22,-0.451,0.439
0,AUS,2020-03-23,-0.372,0.332
0,AUS,2020-03-24,-0.412,0.352
0,AUS,2020-03-25,-0.439,0.366
0,AUS,2020-03-26,-0.464,0.375
0,AUS,2020-03-27,-0.474,0.362
0,AUS,2020-03-28,-0.521,0.412
0,AUS,2020-03-29,-0.577,0.498
0,AUS,2020-03-30,-0.485,0.39
0,AUS,2020-03-31,-0.481,0.386
0,AUS,2020-04-01,-0.485,0.377
0,AUS,2020-04-02,-0.497,0.38
0,AUS,2020-04-03,-0.497,0.364
0,AUS,2020-04-04,-0.554,0.424
0,AUS,2020-04-05,-0.585,0.496
0,AUS,2020-04-06,-0.47,0.369
0,AUS,2020-04-07,-0.464,0.365
0,AUS,2020-04-08,-0.466,0.355
0,AUS,2020-04-09,-0.446,0.339
0,AUS,2020-04-10,-0.619,0.439
0,AUS,2020-04-11,-0.559,0.406
0,AUS,2020-04-12,-0.627,0.515
0,AUS,2020-04-13,-0.643,0.495
0,AUS,2020-04-14,-0.463,0.356
0,AUS,2020-04-15,-0.455,0.348
0,AUS,2020-04-16,-0.453,0.342
0,AUS,2020-04-17,-0.458,0.331
0,AUS,2020-04-18,-0.509,0.384
0,AUS,2020-04-19,-0.564,0.469
0,AUS,2020-04-20,-0.45,0.361
0,AUS,2020-04-21,-0.431,0.346
0,AUS,2020-04-22,-0.432,0.33
0,AUS,2020-04-23,-0.43,0.325
0,AUS,2020-04-24,-0.424,0.306
0,AUS,2020-04-25,-0.54,0.416
0,AUS,2020-04-26,-0.531,0.448
0,AUS,2020-04-27,-0.416,0.324
0,AUS,2020-04-28,-0.403,0.323
0,AUS,2020-04-29,-0.414,0.321
0,AUS,2020-04-30,-0.41,0.313
0,AUS,2020-05-01,-0.503,0.385
0,AUS,2020-05-02,-0.448,0.344
0,AUS,2020-05-03,-0.477,0.412
0,AUS,2020-05-04,-0.327,0.271
0,AUS,2020-05-05,-0.294,0.248
0,AUS,2020-05-06,-0.305,0.251
0,AUS,2020-05-07,-0.297,0.243
0,AUS,2020-05-08,-0.291,0.23
0,AUS,2020-05-09,-0.305,0.266
0,AUS,2020-05-10,-0.339,0.312
0,AUS,2020-05-11,-0.303,0.267
0,AUS,2020-05-12,-0.272,0.243
0,AUS,2020-05-13,-0.287,0.251
0,AUS,2020-05-14,-0.263,0.229
0,AUS,2020-05-15,-0.273,0.229
0,AUS,2020-05-16,-0.264,0.252
0,AUS,2020-05-17,-0.292,0.301
0,AUS,2020-05-18,-0.206,0.213
0,AUS,2020-05-19,-0.216,0.217
0,AUS,2020-05-20,-0.217,0.208
0,AUS,2020-05-21,-0.218,0.208
0,AUS,2020-05-22,-0.213,0.197
0,AUS,2020-05-23,-0.199,0.225
0,AUS,2020-05-24,-0.214,0.269
0,AUS,2020-05-25,-0.18,0.202
0,AUS,2020-05-26,-0.17,0.193
0,AUS,2020-05-27,-0.17,0.188
0,AUS,2020-05-28,-0.168,0.184
0,AUS,2020-05-29,-0.174,0.181
0,AUS,2020-05-30,-0.15,0.207
0,AUS,2020-05-31,-0.175,0.252
0,BRA,2020-03-01,-0.13,0.278
0,BRA,2020-03-02,0.014,0.18
0,BRA,2020-03-03,0.019,0.181
0,BRA,2020-03-04,0.01,0.172
0,BRA,2020-03-05,0.021,0.167
0,BRA,2020-03-06,0.022,0.161
0,BRA,2020-03-07,0.02,0.194
0,BRA,2020-03-08,0.006,0.236
0,BRA,2020-03-09,0.061,0.162
0,BRA,2020-03-10,0.067,0.165
0,BRA,2020-03-11,0.034,0.166
0,BRA,2020-03-12,0.021,0.169
0,BRA,2020-03-13,0.005,0.166
0,BRA,2020-03-14,-0.027,0.208
0,BRA,2020-03-15,-0.058,0.258
0,BRA,2020-03-16,-0.02,0.191
0,BRA,2020-03-17,-0.084,0.22
0,BRA,2020-03-18,-0.158,0.248
0,BRA,2020-03-19,-0.232,0.286
0,BRA,2020-03-20,-0.284,0.304
0,BRA,2020-03-21,-0.394,0.393
0,BRA,2020-03-22,-0.494,0.491
0,BRA,2020-03-23,-0.43,0.412
0,BRA,2020-03-24,-0.462,0.442
0,BRA,2020-03-25,-0.476,0.436
0,BRA,2020-03-26,-0.468,0.426
0,BRA,2020-03-27,-0.46,0.405
0,BRA,2020-03-28,-0.458,0.42
0,BRA,2020-03-29,-0.481,0.47
0,BRA,2020-03-30,-0.42,0.395
0,BRA,2020-03-31,-0.398,0.389
0,BRA,2020-04-01,-0.402,0.379
0,BRA,2020-04-02,-0.408,0.384
0,BRA,2020-04-03,-0.403,0.369
0,BRA,2020-04-04,-0.396,0.381
0,BRA,2020-04-05,-0.424,0.432
0,BRA,2020-04-06,-0.359,0.359
0,BRA,2020-04-07,-0.336,0.355
0,BRA,2020-04-08,-0.347,0.35
0,BRA,2020-04-09,-0.322,0.337
0,BRA,2020-04-10,-0.524,0.422
0,BRA,2020-04-11,-0.389,0.372
0,BRA,2020-04-12,-0.398,0.411
0,BRA,2020-04-13,-0.344,0.35
0,BRA,2020-04-14,-0.358,0.368
0,BRA,2020-04-15,-0.36,0.36
0,BRA,2020-04-16,-0.362,0.358
0,BRA,2020-04-17,-0.358,0.343
0,BRA,2020-04-18,-0.359,0.363
0,BRA,2020-04-19,-0.399,0.417
0,BRA,2020-04-20,-0.334,0.345
0,BRA,2020-04-21,-0.457,0.411
0,BRA,2020-04-22,-0.322,0.33
0,BRA,2020-04-23,-0.35,0.349
0,BRA,2020-04-24,-0.34,0.332
0,BRA,2020-04-25,-0.34,0.351
0,BRA,2020-04-26,-0.376,0.405
0,BRA,2020-04-27,-0.309,0.334
0,BRA,2020-04-28,-0.3,0.338
0,BRA,2020-04-29,-0.306,0.331
0,BRA,2020-04-30,-0.27,0.315
0,BRA,2020-05-01,-0.455,0.388
0,BRA,2020-05-02,-0.338,0.344
0,BRA,2020-05-03,-0.364,0.404
0,BRA,2020-05-04,-0.28,0.321
0,BRA,2020-05-05,-0.276,0.326
0,BRA,2020-05-06,-0.281,0.328
0,BRA,2020-05-07,-0.282,0.331
0,BRA,2020-05-08,-0.264,0.307
0,BRA,2020-05-09,-0.246,0.32
0,BRA,2020-05-10,-0.278,0.348
0,BRA,2020-05-11,-0.266,0.32
0,BRA,2020-05-12,-0.274,0.336
0,BRA,2020-05-13,-0.3,0.335
0,BRA,2020-05-14,-0.306,0.342
0,BRA,2020-05-15,-0.307,0.332
0,BRA,2020-05-16,-0.306,0.347
0,BRA,2020-05-17,-0.342,0.397
0,BRA,2020-05-18,-0.267,0.322
0,BRA,2020-05-19,-0.269,0.329
0,BRA,2020-05-20,-0.284,0.329
0,BRA,2020-05-21,-0.295,0.333
0,BRA,2020-05-22,-0.299,0.324
0,BRA,2020-05-23,-0.31,0.349
0,BRA,2020-05-24,-0.372,0.416
0,BRA,2020-05-25,-0.306,0.341
0,BRA,2020-05-26,-0.258,0.324
0,BRA,2020-05-27,-0.27,0.323
0,BRA,2020-05-28,-0.269,0.322
0,BRA,2020-05-29,-0.254,0.302
0,BRA,2020-05-30,-0.243,0.316
0,BRA,2020-05-31,-0.296,0.374
0,DEU,2020-03-01,0.025,0.333
0,DEU,2020-03-02,0.079,0.159
0,DEU,2020-03-03,0.045,0.164
0,DEU,2020-03-04,0.015,0.167
0,DEU,2020-03-05,0.011,0.166
0,DEU,2020-03-06,-0.023,0.173
0,DEU,2020-03-07,0.002,0.219
0,DEU,2020-03-08,0.057,0.325
0,DEU,2020-03-09,0.059,0.166
0,DEU,2020-03-10,0.013,0.181
0,DEU,2020-03-11,0.002,0.172
0,DEU,2020-03-12,-0.002,0.169
0,DEU,2020-03-13,-0.029,0.173
0,DEU,2020-03-14,-0.046,0.234
0,DEU,2020-03-15,-0.042,0.358
0,DEU,2020-03-16,0.001,0.187
0,DEU,2020-03-17,-0.078,0.218
0,DEU,2020-03-18,-0.136,0.237
0,DEU,2020-03-19,-0.184,0.253
0,DEU,2020-03-20,-0.238,0.27
0,DEU,2020-03-21,-0.358,0.383
0,DEU,2020-03-22,-0.393,0.522
0,DEU,2020-03-23,-0.26,0.311
0,DEU,2020-03-24,-0.267,0.319
0,DEU,2020-03-25,-0.287,0.319
0,DEU,2020-03-26,-0.289,0.312
0,DEU,2020-03-27,-0.288,0.293
0,DEU,2020-03-28,-0.298,0.344
0,DEU,2020-03-29,-0.475,0.575
0,DEU,2020-03-30,-0.254,0.312
0,DEU,2020-03-31,-0.229,0.297
0,DEU,2020-04-01,-0.242,0.29
0,DEU,2020-04-02,-0.253,0.29
0,DEU,2020-04-03,-0.289,0.299
0,DEU,2020-04-04,-0.276,0.331
0,DEU,2020-04-05,-0.232,0.443
0,DEU,2020-04-06,-0.17,0.265
0,DEU,2020-04-07,-0.176,0.269
0,DEU,2020-04-08,-0.185,0.26
0,DEU,2020-04-09,-0.168,0.25
0,DEU,2020-04-10,-0.522,0.427
0,DEU,2020-04-11,-0.233,0.298
0,DEU,2020-04-12,-0.231,0.421
0,DEU,2020-04-13,-0.561,0.484
0,DEU,2020-04-14,-0.205,0.28
0,DEU,2020-04-15,-0.2,0.274
0,DEU,2020-04-16,-0.183,0.256
0,DEU,2020-04-17,-0.204,0.253
0,DEU,2020-04-18,-0.211,0.303
0,DEU,2020-04-19,-0.199,0.43
0,DEU,2020-04-20,-0.123,0.248
0,DEU,2020-04-21,-0.132,0.251
0,DEU,2020-04-22,-0.153,0.246
0,DEU,2020-04-23,-0.144,0.235
0,DEU,2020-04-24,-0.183,0.243
0,DEU,2020-04-25,-0.183,0.294
0,DEU,2020-04-26,-0.143,0.413
0,DEU,2020-04-27,-0.103,0.241
