level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2,AUS.10.10_1,2020-03-01,-0.041,0.165
2,AUS.10.10_1,2020-03-02,-0.009,0.12
2,AUS.10.10_1,2020-03-03,-0.002,0.112
2,AUS.10.10_1,2020-03-04,0.014,0.108
2,AUS.10.10_1,2020-03-05,0.001,0.12
2,AUS.10.10_1,2020-03-06,-0.003,0.108
2,AUS.10.10_1,2020-03-07,-0.029,0.145
2,AUS.10.10_1,2020-03-08,-0.005,0.168
2,AUS.10.10_1,2020-03-09,-0.175,0.183
2,AUS.10.10_1,2020-03-10,-0.025,0.11
2,AUS.10.10_1,2020-03-11,-0.005,0.115
2,AUS.10.10_1,2020-03-12,-0.024,0.114
2,AUS.10.10_1,2020-03-13,-0.001,0.116
2,AUS.10.10_1,2020-03-14,-0.069,0.159
2,AUS.10.10_1,2020-03-15,-0.112,0.187
2,AUS.10.10_1,2020-03-16,-0.065,0.129
2,AUS.10.10_1,2020-03-17,-0.082,0.139
2,AUS.10.10_1,2020-03-18,-0.09,0.143
2,AUS.10.10_1,2020-03-19,-0.138,0.149
2,AUS.10.10_1,2020-03-20,-0.14,0.162
2,AUS.10.10_1,2020-03-21,-0.202,0.215
2,AUS.10.10_1,2020-03-22,-0.275,0.266
2,AUS.10.10_1,2020-03-23,-0.203,0.193
2,AUS.10.10_1,2020-03-24,-0.305,0.259
2,AUS.10.10_1,2020-03-25,-0.331,0.262
2,AUS.10.10_1,2020-03-26,-0.339,0.261
2,AUS.10.10_1,2020-03-27,-0.363,0.264
2,AUS.10.10_1,2020-03-28,-0.422,0.324
2,AUS.10.10_1,2020-03-29,-0.494,0.383
2,AUS.10.10_1,2020-03-30,-0.396,0.296
2,AUS.10.10_1,2020-03-31,-0.401,0.312
2,AUS.10.10_1,2020-04-01,-0.388,0.302
2,AUS.10.10_1,2020-04-02,-0.443,0.326
2,AUS.10.10_1,2020-04-03,-0.411,0.295
2,AUS.10.10_1,2020-04-04,-0.516,0.38
2,AUS.10.10_1,2020-04-05,-0.547,0.43
2,AUS.10.10_1,2020-04-06,-0.402,0.308
2,AUS.10.10_1,2020-04-07,-0.401,0.317
2,AUS.10.10_1,2020-04-08,-0.402,0.302
2,AUS.10.10_1,2020-04-09,-0.375,0.283
2,AUS.10.10_1,2020-04-10,-0.649,0.451
2,AUS.10.10_1,2020-04-11,-0.543,0.389
2,AUS.10.10_1,2020-04-12,-0.6,0.45
2,AUS.10.10_1,2020-04-13,-0.589,0.392
2,AUS.10.10_1,2020-04-14,-0.42,0.3
