level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,ESP.10_1,2020-03-01,-0.041,0.202
1,ESP.10_1,2020-03-02,-0.037,0.145
1,ESP.10_1,2020-03-03,-0.025,0.136
1,ESP.10_1,2020-03-04,0.006,0.13
1,ESP.10_1,2020-03-05,0.005,0.129
1,ESP.10_1,2020-03-06,-0.016,0.132
1,ESP.10_1,2020-03-07,-0.024,0.161
1,ESP.10_1,2020-03-08,-0.022,0.191
1,ESP.10_1,2020-03-09,-0.003,0.132
1,ESP.10_1,2020-03-10,-0.008,0.13
1,ESP.10_1,2020-03-11,-0.015,0.132
1,ESP.10_1,2020-03-12,-0.039,0.137
1,ESP.10_1,2020-03-13,-0.101,0.155
1,ESP.10_1,2020-03-14,-0.322,0.299
1,ESP.10_1,2020-03-15,-0.612,0.55
1,ESP.10_1,2020-03-16,-0.528,0.436
1,ESP.10_1,2020-03-17,-0.566,0.488
1,ESP.10_1,2020-03-18,-0.552,0.468
1,ESP.10_1,2020-03-19,-0.727,0.649
1,ESP.10_1,2020-03-20,-0.612,0.493
1,ESP.10_1,2020-03-21,-0.678,0.589
1,ESP.10_1,2020-03-22,-0.765,0.734
1,ESP.10_1,2020-03-23,-0.611,0.523
1,ESP.10_1,2020-03-24,-0.635,0.566
1,ESP.10_1,2020-03-25,-0.626,0.554
1,ESP.10_1,2020-03-26,-0.621,0.545
1,ESP.10_1,2020-03-27,-0.632,0.551
1,ESP.10_1,2020-03-28,-0.687,0.593
1,ESP.10_1,2020-03-29,-0.756,0.724
1,ESP.10_1,2020-03-30,-0.663,0.573
1,ESP.10_1,2020-03-31,-0.687,0.61
1,ESP.10_1,2020-04-01,-0.677,0.585
1,ESP.10_1,2020-04-02,-0.678,0.59
1,ESP.10_1,2020-04-03,-0.67,0.559
1,ESP.10_1,2020-04-04,-0.695,0.601
1,ESP.10_1,2020-04-05,-0.768,0.735
1,ESP.10_1,2020-04-06,-0.659,0.561
1,ESP.10_1,2020-04-07,-0.658,0.568
1,ESP.10_1,2020-04-08,-0.649,0.547
1,ESP.10_1,2020-04-09,-0.662,0.553
1,ESP.10_1,2020-04-10,-0.776,0.696
1,ESP.10_1,2020-04-11,-0.69,0.569
1,ESP.10_1,2020-04-12,-0.768,0.728
1,ESP.10_1,2020-04-13,-0.759,0.683
1,ESP.10_1,2020-04-14,-0.603,0.509
1,ESP.10_1,2020-04-15,-0.616,0.554
1,ESP.10_1,2020-04-16,-0.597,0.517
1,ESP.10_1,2020-04-17,-0.605,0.515
1,ESP.10_1,2020-04-18,-0.668,0.574
1,ESP.10_1,2020-04-19,-0.766,0.73
1,ESP.10_1,2020-04-20,-0.656,0.575
1,ESP.10_1,2020-04-21,-0.586,0.512
1,ESP.10_1,2020-04-22,-0.594,0.513
1,ESP.10_1,2020-04-23,-0.596,0.514
1,ESP.10_1,2020-04-24,-0.59,0.492
1,ESP.10_1,2020-04-25,-0.662,0.564
1,ESP.10_1,2020-04-26,-0.732,0.658
1,ESP.10_1,2020-04-27,-0.571,0.474
1,ESP.10_1,2020-04-28,-0.565,0.475
1,ESP.10_1,2020-04-29,-0.551,0.464
1,ESP.10_1,2020-04-30,-0.537,0.442
1,ESP.10_1,2020-05-01,-0.727,0.61
