level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2,MEX.1.1_1,2020-03-01,0.028,0.153
2,MEX.1.1_1,2020-03-02,0.004,0.104
2,MEX.1.1_1,2020-03-03,-0.002,0.111
2,MEX.1.1_1,2020-03-04,-0.003,0.11
2,MEX.1.1_1,2020-03-05,-0.003,0.111
2,MEX.1.1_1,2020-03-06,-0.006,0.102
2,MEX.1.1_1,2020-03-07,0.007,0.137
2,MEX.1.1_1,2020-03-08,-0.003,0.155
2,MEX.1.1_1,2020-03-09,-0.111,0.16
2,MEX.1.1_1,2020-03-10,-0.006,0.114
2,MEX.1.1_1,2020-03-11,0.008,0.114
2,MEX.1.1_1,2020-03-12,0.009,0.11
2,MEX.1.1_1,2020-03-13,-0.01,0.116
2,MEX.1.1_1,2020-03-14,0.059,0.131
2,MEX.1.1_1,2020-03-15,0.008,0.16
2,MEX.1.1_1,2020-03-16,-0.254,0.215
2,MEX.1.1_1,2020-03-17,-0.065,0.141
2,MEX.1.1_1,2020-03-18,-0.117,0.169
2,MEX.1.1_1,2020-03-19,-0.164,0.188
2,MEX.1.1_1,2020-03-20,-0.206,0.192
2,MEX.1.1_1,2020-03-21,-0.211,0.226
2,MEX.1.1_1,2020-03-22,-0.292,0.275
2,MEX.1.1_1,2020-03-23,-0.266,0.236
2,MEX.1.1_1,2020-03-24,-0.284,0.262
2,MEX.1.1_1,2020-03-25,-0.303,0.274
2,MEX.1.1_1,2020-03-26,-0.324,0.281
2,MEX.1.1_1,2020-03-27,-0.333,0.263
2,MEX.1.1_1,2020-03-28,-0.283,0.261
2,MEX.1.1_1,2020-03-29,-0.347,0.309
2,MEX.1.1_1,2020-03-30,-0.332,0.281
2,MEX.1.1_1,2020-03-31,-0.339,0.298
2,MEX.1.1_1,2020-04-01,-0.342,0.304
2,MEX.1.1_1,2020-04-02,-0.369,0.319
2,MEX.1.1_1,2020-04-03,-0.378,0.301
2,MEX.1.1_1,2020-04-04,-0.338,0.296
2,MEX.1.1_1,2020-04-05,-0.405,0.341
2,MEX.1.1_1,2020-04-06,-0.371,0.304
2,MEX.1.1_1,2020-04-07,-0.378,0.324
2,MEX.1.1_1,2020-04-08,-0.361,0.313
2,MEX.1.1_1,2020-04-09,-0.415,0.33
2,MEX.1.1_1,2020-04-10,-0.525,0.35
2,MEX.1.1_1,2020-04-11,-0.42,0.317
2,MEX.1.1_1,2020-04-12,-0.421,0.346
2,MEX.1.1_1,2020-04-13,-0.365,0.299
2,MEX.1.1_1,2020-04-14,-0.363,0.315
2,MEX.1.1_1,2020-04-15,-0.348,0.307
2,MEX.1.1_1,2020-04-16,-0.356,0.305
2,MEX.1.1_1,2020-04-17,-0.362,0.292
2,MEX.1.1_1,2020-04-18,-0.318,0.285
2,MEX.1.1_1,2020-04-19,-0.374,0.318
2,MEX.1.1_1,2020-04-20,-0.339,0.289
2,MEX.1.1_1,2020-04-21,-0.371,0.323
2,MEX.1.1_1,2020-04-22,-0.376,0.329
2,MEX.1.1_1,2020-04-23,-0.393,0.336
2,MEX.1.1_1,2020-04-24,-0.395,0.317
2,MEX.1.1_1,2020-04-25,-0.35,0.304
2,MEX.1.1_1,2020-04-26,-0.392,0.331
2,MEX.1.1_1,2020-04-27,-0.371,0.309
2,MEX.1.1_1,2020-04-28,-0.376,0.328
2,MEX.1.1_1,2020-04-29,-0.359,0.318
2,MEX.1.1_1,2020-04-30,-0.315,0.288
2,MEX.1.1_1,2020-05-01,-0.442,0.327
2,MEX.1.1_1,2020-05-02,-0.329,0.286
2,MEX.1.1_1,2020-05-03,-0.371,0.32
2,MEX.1.1_1,2020-05-04,-0.329,0.287
2,MEX.1.1_1,2020-05-05,-0.357,0.32
2,MEX.1.1_1,2020-05-06,-0.347,0.316
2,MEX.1.1_1,2020-05-07,-0.356,0.317
2,MEX.1.1_1,2020-05-08,-0.346,0.298
2,MEX.1.1_1,2020-05-09,-0.286,0.28
2,MEX.1.1_1,2020-05-10,-0.252,0.249
2,MEX.1.1_1,2020-05-11,-0.31,0.261
2,MEX.1.1_1,2020-05-12,-0.335,0.308
2,MEX.1.1_1,2020-05-13,-0.328,0.304
2,MEX.1.1_1,2020-05-14,-0.319,0.298
2,MEX.1.1_1,2020-05-15,-0.294,0.263
2,MEX.1.1_1,2020-05-16,-0.234,0.252
