level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,FRA.10_1,2020-03-01,-0.115,0.281
1,FRA.10_1,2020-03-02,-0.062,0.184
1,FRA.10_1,2020-03-03,-0.046,0.178
1,FRA.10_1,2020-03-04,-0.058,0.172
1,FRA.10_1,2020-03-05,-0.064,0.174
1,FRA.10_1,2020-03-06,-0.076,0.158
1,FRA.10_1,2020-03-07,-0.041,0.176
1,FRA.10_1,2020-03-08,-0.128,0.283
1,FRA.10_1,2020-03-09,0.018,0.141
1,FRA.10_1,2020-03-10,0.042,0.135
1,FRA.10_1,2020-03-11,0.016,0.142
1,FRA.10_1,2020-03-12,0.017,0.132
1,FRA.10_1,2020-03-13,-0.005,0.122
1,FRA.10_1,2020-03-14,-0.126,0.203
1,FRA.10_1,2020-03-15,-0.152,0.265
1,FRA.10_1,2020-03-16,-0.175,0.228
1,FRA.10_1,2020-03-17,-0.355,0.335
1,FRA.10_1,2020-03-18,-0.563,0.471
1,FRA.10_1,2020-03-19,-0.588,0.478
1,FRA.10_1,2020-03-20,-0.624,0.471
1,FRA.10_1,2020-03-21,-0.682,0.541
1,FRA.10_1,2020-03-22,-0.72,0.658
1,FRA.10_1,2020-03-23,-0.611,0.502
1,FRA.10_1,2020-03-24,-0.604,0.505
1,FRA.10_1,2020-03-25,-0.62,0.511
1,FRA.10_1,2020-03-26,-0.62,0.514
1,FRA.10_1,2020-03-27,-0.638,0.488
1,FRA.10_1,2020-03-28,-0.686,0.54
1,FRA.10_1,2020-03-29,-0.74,0.694
1,FRA.10_1,2020-03-30,-0.634,0.55
1,FRA.10_1,2020-03-31,-0.6,0.505
1,FRA.10_1,2020-04-01,-0.598,0.488
1,FRA.10_1,2020-04-02,-0.598,0.484
1,FRA.10_1,2020-04-03,-0.612,0.461
1,FRA.10_1,2020-04-04,-0.654,0.5
1,FRA.10_1,2020-04-05,-0.698,0.616
1,FRA.10_1,2020-04-06,-0.592,0.497
1,FRA.10_1,2020-04-07,-0.566,0.471
1,FRA.10_1,2020-04-08,-0.573,0.461
1,FRA.10_1,2020-04-09,-0.565,0.448
1,FRA.10_1,2020-04-10,-0.581,0.425
1,FRA.10_1,2020-04-11,-0.63,0.472
1,FRA.10_1,2020-04-12,-0.696,0.608
