level,gadm_code,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
1,GBR.1_1,2020-03-01,0.05,0.245
1,GBR.1_1,2020-03-02,0.031,0.15
1,GBR.1_1,2020-03-03,0.016,0.147
1,GBR.1_1,2020-03-04,0.009,0.146
1,GBR.1_1,2020-03-05,-0.001,0.149
1,GBR.1_1,2020-03-06,0.027,0.134
1,GBR.1_1,2020-03-07,0.045,0.19
1,GBR.1_1,2020-03-08,0.07,0.243
1,GBR.1_1,2020-03-09,0.018,0.155
1,GBR.1_1,2020-03-10,-0.002,0.152
1,GBR.1_1,2020-03-11,-0.004,0.148
1,GBR.1_1,2020-03-12,-0.015,0.151
1,GBR.1_1,2020-03-13,-0.023,0.149
1,GBR.1_1,2020-03-14,-0.031,0.213
1,GBR.1_1,2020-03-15,-0.045,0.28
1,GBR.1_1,2020-03-16,-0.029,0.172
1,GBR.1_1,2020-03-17,-0.101,0.192
1,GBR.1_1,2020-03-18,-0.16,0.216
1,GBR.1_1,2020-03-19,-0.166,0.222
1,GBR.1_1,2020-03-20,-0.197,0.229
1,GBR.1_1,2020-03-21,-0.232,0.309
1,GBR.1_1,2020-03-22,-0.271,0.389
1,GBR.1_1,2020-03-23,-0.308,0.322
1,GBR.1_1,2020-03-24,-0.439,0.391
1,GBR.1_1,2020-03-25,-0.49,0.412
1,GBR.1_1,2020-03-26,-0.506,0.42
1,GBR.1_1,2020-03-27,-0.519,0.417
1,GBR.1_1,2020-03-28,-0.563,0.504
1,GBR.1_1,2020-03-29,-0.579,0.576
1,GBR.1_1,2020-03-30,-0.534,0.458
1,GBR.1_1,2020-03-31,-0.526,0.439
1,GBR.1_1,2020-04-01,-0.541,0.444
1,GBR.1_1,2020-04-02,-0.543,0.443
1,GBR.1_1,2020-04-03,-0.53,0.42
1,GBR.1_1,2020-04-04,-0.527,0.466
1,GBR.1_1,2020-04-05,-0.514,0.519
1,GBR.1_1,2020-04-06,-0.517,0.438
1,GBR.1_1,2020-04-07,-0.509,0.422
1,GBR.1_1,2020-04-08,-0.516,0.418
1,GBR.1_1,2020-04-09,-0.495,0.405
1,GBR.1_1,2020-04-10,-0.577,0.442
1,GBR.1_1,2020-04-11,-0.517,0.45
1,GBR.1_1,2020-04-12,-0.547,0.547
1,GBR.1_1,2020-04-13,-0.614,0.502
1,GBR.1_1,2020-04-14,-0.498,0.413
1,GBR.1_1,2020-04-15,-0.495,0.407
1,GBR.1_1,2020-04-16,-0.496,0.407
1,GBR.1_1,2020-04-17,-0.514,0.416
1,GBR.1_1,2020-04-18,-0.521,0.471
1,GBR.1_1,2020-04-19,-0.461,0.487
1,GBR.1_1,2020-04-20,-0.47,0.406
1,GBR.1_1,2020-04-21,-0.467,0.397
1,GBR.1_1,2020-04-22,-0.473,0.391
1,GBR.1_1,2020-04-23,-0.468,0.387
1,GBR.1_1,2020-04-24,-0.461,0.371
1,GBR.1_1,2020-04-25,-0.448,0.415
1,GBR.1_1,2020-04-26,-0.434,0.475
1,GBR.1_1,2020-04-27,-0.447,0.395
1,GBR.1_1,2020-04-28,-0.505,0.444
1,GBR.1_1,2020-04-29,-0.495,0.419
1,GBR.1_1,2020-04-30,-0.491,0.415
1,GBR.1_1,2020-05-01,-0.469,0.385
