ds,OBJECTID,state_fips,state_name,state_code,county_fips,county_name,county_fips_int,Nameonly,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_rela,all_day_ratio_single_tile_users,Shape__Area,Shape__Length
2020/05/09 05:00:00+00,1,1,Alabama,AL,01001,Autauga County,1001,Autauga,1001,Autauga,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.0712764274783262,0.215152166662776,0.148903424666059,1.88413711305523
2020/05/09 05:00:00+00,2,1,Alabama,AL,01009,Blount County,1009,Blount,1009,Blount,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.110008634249736,0.191129401126455,0.167529636421932,2.0674563857459
2020/05/09 05:00:00+00,3,1,Alabama,AL,01011,Bullock County,1011,Bullock,1011,Bullock,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.0710500025721146,0.124103106090525,0.155727340787735,2.00625025029157
2020/05/09 05:00:00+00,4,1,Alabama,AL,01013,Butler County,1013,Butler,1013,Butler,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.103982472710842,0.225840535724938,0.192730532944552,1.76946212262841
2020/05/09 05:00:00+00,5,1,Alabama,AL,01015,Calhoun County,1015,Calhoun,1015,Calhoun,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.0569040725595053,0.206219601846894,0.152336893293068,2.14982534743479
2020/05/09 05:00:00+00,6,1,Alabama,AL,01017,Chambers County,1017,Chambers,1017,Chambers,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.0320669128576817,0.193950284312439,0.153113605742647,1.637226443176
2020/05/09 05:00:00+00,7,1,Alabama,AL,01019,Cherokee County,1019,Cherokee,1019,Cherokee,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,0.0212532197432437,0.204700410250318,0.152721698389996,1.79414208981232
2020/05/09 05:00:00+00,8,1,Alabama,AL,01023,Choctaw County,1023,Choctaw,1023,Choctaw,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.102351503268145,0.190861817382985,0.230839535829318,2.57566509333005
2020/05/09 05:00:00+00,9,1,Alabama,AL,01025,Clarke County,1025,Clarke,1025,Clarke,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.0717547498263856,0.197573938395756,0.307334921857546,3.37702332587743
2020/05/09 05:00:00+00,10,1,Alabama,AL,01027,Clay County,1027,Clay,1027,Clay,Overall,Overall,full_february_except_presidents_day,DAY_OF_WEEK,-0.0142112525777066,0.182274525520908,0.151821577019973,1.97146381424041
