polygon1_id,polygon1_name,lon_1,lat_1,name_stack_1,fb_population_1,polygon2_id,polygon2_name,lon_2,lat_2,name_stack_2,fb_population_2,link_value,country,ds
1427137,Morgan,-78.25777604,39.56041898,West Virginia // Morgan,222,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,7.99E-08,USA,4/28/20
1206503,Atlantic,-74.67660566,39.48214952,New Jersey // Atlantic,3168,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,2.15E-10,USA,4/28/20
1424599,Caroline,-77.34754827,38.02719438,Virginia // Caroline,338,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.01E-09,USA,4/28/20
1109458,Frederick,-77.39786198,39.47231421,Maryland // Frederick,2303,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.01E-07,USA,4/28/20
1409102,Montgomery,-75.3673204,40.21084632,Pennsylvania // Montgomery,6222,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,2.29E-08,USA,4/28/20
1425129,Manassas,-77.48390494,38.74793505,Virginia // Manassas,661,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,4.64E-09,USA,4/28/20
1109652,Baltimore City,-76.61064635,39.30098074,Maryland // Baltimore City,7587,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,3.33E-09,USA,4/28/20
1426980,Berkeley,-78.02750192,39.46404596,West Virginia // Berkeley,1844,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.11E-08,USA,4/28/20
1425101,Chesapeake,-76.30238603,36.67780337,Virginia // Chesapeake,2482,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,6.87E-10,USA,4/28/20
50876,Sussex,-75.39864937,38.6619981,Delaware // Sussex,2644,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,3.87E-10,USA,4/28/20
1206931,Ocean,-74.29677338,39.90895383,New Jersey // Ocean,5367,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,8.58E-09,USA,4/28/20
1408505,Fulton,-78.11249181,39.92547451,Pennsylvania // Fulton,151,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.18E-05,USA,4/28/20
1109366,Anne Arundel,-76.60392856,39.00919904,Maryland // Anne Arundel,5261,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.30E-09,USA,4/28/20
1407851,Cambria,-78.7136929,40.49525606,Pennsylvania // Cambria,1462,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,4.58E-05,USA,4/28/20
1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,0.004113093,USA,4/28/20
1109374,Baltimore County,-76.63440787,39.45853347,Maryland // Baltimore County,8592,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,7.62E-09,USA,4/28/20
1424937,Prince George,-77.22410885,37.18650005,Virginia // Prince George,421,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,3.24E-09,USA,4/28/20
1424943,Prince William,-77.4777194,38.70167943,Virginia // Prince William,4779,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,8.42E-09,USA,4/28/20
1424670,Fairfax County,-77.27620865,38.83479052,Virginia // Fairfax County,8273,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.69E-09,USA,4/28/20
1409283,Philadelphia,-75.1340761,40.0075267,Pennsylvania // Philadelphia,18134,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,1.44E-08,USA,4/28/20
1424628,Clarke,-77.99658153,39.11225286,Virginia // Clarke,105,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,3.25E-09,USA,4/28/20
1409252,Perry,-77.26227562,40.39840338,Pennsylvania // Perry,558,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,3.29E-06,USA,4/28/20
1427063,Jefferson,-77.86278694,39.30760518,West Virginia // Jefferson,668,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,4.59E-09,USA,4/28/20
1424813,Loudoun,-77.63570659,39.09077978,Virginia // Loudoun,2526,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,2.70E-09,USA,4/28/20
1206837,Monmouth,-74.22193955,40.25991406,New Jersey // Monmouth,4786,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,9.97E-10,USA,4/28/20
1109340,Allegany,-78.69896019,39.62150378,Maryland // Allegany,807,1407660,Blair,-78.34859986,40.48114796,Pennsylvania // Blair,1455,3.50E-07,USA,4/28/20
1425115,Fredericksburg,-77.48706941,38.29916325,Virginia // Fredericksburg,268,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,8.90E-10,USA,4/28/20
1424758,Henrico,-77.40582043,37.53799623,Virginia // Henrico,3042,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,3.41E-09,USA,4/28/20
1424813,Loudoun,-77.63570659,39.09077978,Virginia // Loudoun,2526,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,2.97E-09,USA,4/28/20
1425119,Hampton,-76.36275446,37.05566469,Virginia // Hampton,1676,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,1.09E-08,USA,4/28/20
1408546,Huntingdon,-77.981277,40.41697292,Pennsylvania // Huntingdon,454,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,3.58E-07,USA,4/28/20
1425131,Manassas Park,-77.4448559,38.77175016,Virginia // Manassas Park,230,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,5.19E-10,USA,4/28/20
1109366,Anne Arundel,-76.60392856,39.00919904,Maryland // Anne Arundel,5261,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,1.19E-08,USA,4/28/20
1408725,Lancaster,-76.24772938,40.04241002,Pennsylvania // Lancaster,5255,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,3.35E-07,USA,4/28/20
1407980,Chester,-75.74845027,39.97312033,Pennsylvania // Chester,3146,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,1.08E-07,USA,4/28/20
1206503,Atlantic,-74.67660566,39.48214952,New Jersey // Atlantic,3168,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,1.29E-06,USA,4/28/20
1425159,Virginia Beach,-76.05861631,36.75115101,Virginia // Virginia Beach,4661,1206797,Mercer,-74.70153101,40.28325123,New Jersey // Mercer,4159,9.47E-10,USA,4/28/20
