geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-73.98193359374999 40.363286261845936, -73.98193359374999 40.363286261845936)",2020-04-28 1600,1206879,Rumson,1206879,Rumson,0,13,US,LEVEL4,189,125.8,63.2,49.842271293375,0,4,40.362226449936,-74.00448748566,40.362226449936,-74.00448748566,0320101121120,0320101121120
"LINESTRING (-73.98193359375 40.296284438846904, -73.98193359375 40.32979366503048)",2020-04-28 1600,1206865,Long Branch,1206872,Monmouth Beach,3.726061795862,13,US,LEVEL4,23,35,-12,-33.333333333333,0,-2.4243661069253,40.296816972661,-73.991643716608,40.33591002361,-73.98573503276,0320101121300,0320101121122
"LINESTRING (-75.60791015625001 40.02761236253704, -75.60791015625001 40.02761236253704)",2020-04-28 1600,1408051,West Whiteland,1408051,West Whiteland,0,13,US,LEVEL4,453,404.4,48.6,11.988159842131,0,3.0152039674553,40.022714779354,-75.623639100125,40.022714779354,-75.623639100125,0320101022311,0320101022311
"LINESTRING (-75.60791015625001 40.128488980636284, -75.60791015625001 40.128488980636284)",2020-04-28 1600,1408050,West Vincent,1408050,West Vincent,0,13,US,LEVEL4,22,10.2,11.8,105.35714285714,0,4,40.125702424922,-75.647598888164,40.125702424922,-75.647598888164,0320101022113,0320101022113
"LINESTRING (-74.24560546875 40.26275858650597, -74.24560546875 40.26275858650597)",2020-04-28 1600,1206854,Freehold township,1206854,Freehold township,0,13,US,LEVEL4,554,398.4,155.6,38.958437656485,0,4,40.223321424559,-74.298814468545,40.223321424559,-74.298814468545,0320101120312,0320101120312
"LINESTRING (-75.60791015625001 40.22921611124274, -75.60791015625 40.26275858650597)",2020-04-28 1600,1409126,Lower Pottsgrove,1409126,Lower Pottsgrove,3.7297589306376,13,US,LEVEL4,12,16,-4,-23.529411764706,0,-1.1795356492392,40.253630208415,-75.597682210946,40.253630208415,-75.597682210946,0320101020331,0320101020313
"LINESTRING (-75.60791015625001 40.22921611124274, -75.60791015625001 40.22921611124274)",2020-04-28 1600,1409126,Lower Pottsgrove,1409126,Lower Pottsgrove,0,13,US,LEVEL4,485,398.6,86.4,21.621621621622,0,4,40.253630208415,-75.597682210946,40.253630208415,-75.597682210946,0320101020331,0320101020331
"LINESTRING (-75.60791015625001 40.22921611124274, -75.65185546875 40.22921611124274)",2020-04-28 1600,1409126,Lower Pottsgrove,1408018,North Coventry,3.7306831255731,13,US,LEVEL4,17,23.8,-6.8,-27.41935483871,0,-1.3038404810405,40.253630208415,-75.597682210946,40.219938627244,-75.681766560721,0320101020331,0320101020330
"LINESTRING (-75.60791015625001 40.22921611124274, -75.65185546875 40.26275858650597)",2020-04-28 1600,1409126,Lower Pottsgrove,1409138,Pottstown,5.2746757231077,13,US,LEVEL4,29,38,-9,-23.076923076923,0,-1.510526444934,40.253630208415,-75.597682210946,40.250707077411,-75.644309809222,0320101020331,0320101020312
"LINESTRING (-75.60791015625001 40.296284438846904, -75.60791015625001 40.296284438846904)",2020-04-28 1600,1409132,New Hanover,1409132,New Hanover,0,13,US,LEVEL4,447,266.8,180.2,67.289021657954,0,4,40.314435578135,-75.556651300644,40.314435578135,-75.556651300644,0320101020311,0320101020311
"LINESTRING (-75.60791015625001 40.32979366503048, -75.60791015625001 40.32979366503048)",2020-04-28 1600,1409110,Douglass,1409110,Douglass,0,13,US,LEVEL4,343,285.2,57.8,20.195667365479,0,4,40.319302670343,-75.632201385824,40.319302670343,-75.632201385824,0320101020133,0320101020133
"LINESTRING (-75.60791015625001 40.32979366503048, -75.65185546875 40.26275858650597)",2020-04-28 1600,1409110,Douglass,1409138,Pottstown,8.3337944120306,13,US,LEVEL4,12,11,1,8.3333333333333,0,0.44721359549996,40.319302670343,-75.632201385824,40.250707077411,-75.644309809222,0320101020133,0320101020312
"LINESTRING (-75.60791015625001 40.363286261845936, -75.60791015625001 40.363286261845936)",2020-04-28 1600,1407654,Washington,1407654,Washington,0,13,US,LEVEL4,153,119.8,33.2,27.483443708609,0,4,40.394299707454,-75.608584340285,40.394299707454,-75.608584340285,0320101020131,0320101020131
"LINESTRING (-75.60791015625001 40.39676222610689, -75.60791015625001 40.39676222610689)",2020-04-28 1600,1407654,Washington,1407654,Washington,0,13,US,LEVEL4,173,122.2,50.8,41.233766233766,0,4,40.394299707454,-75.608584340285,40.394299707454,-75.608584340285,0320101020113,0320101020113
"LINESTRING (-74.24560546875 40.26275858650597, -74.28955078125 40.26275858650597)",2020-04-28 1600,1206854,Freehold township,1206853,Freehold borough,3.7288349185448,13,US,LEVEL4,15,48.6,-33.6,-67.741935483871,0,-4,40.223321424559,-74.298814468545,40.259463117314,-74.275399191345,0320101120312,0320101120303
