safegraph_place_id,location_name,street_address,city,region,postal_code,brands,naics_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,visitor_home_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,device_type,iso_country_code
sg:2c04e5af8b2f41dfa5a0f410e6773967,Route 66,2633 Taylor St,San Francisco,CA,94133,[],448120,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,3,3,"[2,0,0,0,1,0,0]","[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,10,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}",US
sg:526a4a3ac0d64ed4bdf6a8e3e49cde96,Mission Organic,5258 Mission St,San Francisco,CA,94112,[],424210,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,1,1,"[1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,480,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",{},{},"{""android"":0,""ios"":0}",US
sg:732ad8ed18e84b0c94f1cd0ca8adf4d1,Linda Park,Linda Park,San Francisco,CA,94110,[],712190,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,28,20,"[3,6,3,5,7,4,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},"{""US"":19}",4476,32.5,"{""<5"":1,""5-20"":9,""21-60"":9,""61-240"":9,"">240"":0}",{},"{""Safeway"":14,""Chevron"":14,""CVS"":12,""Target"":11,""The Home Depot"":7,""Shell Oil"":7,""Starbucks"":6}","{""android"":8,""ios"":12}",US
sg:94e182b248154ff1bfb0d94c7394baf3,El Mediano Produce Market,2097 Mission St,San Francisco,CA,94110,[],445110,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,2,2,"[0,1,0,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,10,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}",US
sg:a8ab1a78278543638fd85fb059e90e06,Cross Cultural Family Center,750 31st Ave,San Francisco,CA,94121,[],624410,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,2,1,"[0,0,0,0,0,0,2]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]",{},null,null,977.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":2}",{},{},"{""android"":0,""ios"":0}",US
sg:b1d66c8d9f8d45a59c72ddaaebcb199e,Amerisino Consulting Group,1185 Pine St Apt 45,San Francisco,CA,94109,[],621330,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,3,2,"[0,0,0,1,2,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,20,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":0}",{},{},"{""android"":0,""ios"":0}",US
sg:ba4408063b86485d87dee61babfb25b0,Halcyon Park,Halcyon Park,San Francisco,CA,94578,[],712190,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,68,39,"[5,11,9,5,9,14,15]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,3,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,1,3,0,0,2,0]",{},"{""US"":24}",5293,165,"{""<5"":2,""5-20"":15,""21-60"":7,""61-240"":12,"">240"":32}","{""Smoker Friendly"":20,""Peet's Coffee and Tea"":20,""Chili's Grill & Bar"":12,""Domino's Pizza"":12,""Burger King"":12,""Jack in the Box"":8}","{""7-Eleven"":9,""Jack in the Box"":7,""Safeway"":7,""Chevron"":6,""Costco Wholesale Corp."":6,""Dollar Tree"":5,""Arteagas Food Center"":5,""Smoker Friendly"":5,""Round Table Pizza"":5,""Lucky Supermarkets"":5}","{""android"":24,""ios"":15}",US
sg:cf5f28192572405d9ffd2d5c0de7a124,Martha & Brothers Coffee,3868 24th St,San Francisco,CA,94114,[],722515,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,7,6,"[2,0,1,1,1,0,2]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,19,"{""<5"":1,""5-20"":3,""21-60"":1,""61-240"":1,"">240"":1}",{},"{""Umami Burger"":17,""Rumble"":17,""Charles Schwab"":17,""24 Hour Fitness"":17,""Papa John's"":16,""Safeway"":16,""Popeyes Louisiana Kitchen"":16,""Chevron"":15,""Burger King"":15,""Subway"":14,""CVS"":14,""Target"":13,""McDonald's"":10}","{""android"":0,""ios"":5}",US
sg:d0888eb591344d20a366374f6e829891,The Brixton,701 2nd St,San Francisco,CA,94107,[],722511,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,30,25,"[6,2,7,3,3,6,3]","[0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1]",{},"{""US"":18}",17914,23.5,"{""<5"":4,""5-20"":11,""21-60"":4,""61-240"":6,"">240"":5}","{""The Bay Club"":33,""Chipotle Mexican Grill"":33,""Quick Lane"":17,""Long John Silver's"":17}","{""Safeway"":15,""Safeway Pharmacy"":12,""Burger King"":10,""Costco Wholesale Corp."":10,""Target"":8,""Starbucks"":8,""FoodMaxx Supermarkets"":8,""Chevron"":7,""Taco Bell"":6,""CVS"":5}","{""android"":10,""ios"":15}",US
sg:f98a3c59e9d04a7dae01ee6bfce986c5,The Church of Jesus Christ of Latter day Saints,1601 22nd Ave,San Francisco,CA,94122,[],813110,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,16,10,"[2,1,1,0,3,3,6]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0]",{},"{""US"":5}",3116,151.5,"{""<5"":0,""5-20"":5,""21-60"":1,""61-240"":3,"">240"":7}",{},"{""Safeway"":29,""Smart & Final"":20,""Pet Food Express"":10,""Sleep Number"":10,""Lucky Supermarkets"":10,""Pacific Sales"":10,""Grocery Outlet"":10,""Sprouts Farmers Market"":10,""ARCO"":10,""Goodwill Industries"":9,""United States Postal Service (USPS)"":9,""7-Eleven"":9,""Chevron"":9,""Costco Wholesale Corp."":8,""Dollar Tree"":7,""The Home Depot"":7}","{""android"":0,""ios"":8}",US
sg:01afcabed486451cbabb7caa479c71b6,Boehle William DDS,801 Portola Dr,San Francisco,CA,94127,[],621210,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,2,2,"[1,1,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,47.5,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",{},{},"{""android"":0,""ios"":0}",US
